C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K)
0.33,0.57,0.23,0.85,3.26,0.09,0,0,0,0,0,0,0,0,0,0,0,537.9
0.33,0.57,0.23,0.85,3.26,0.09,0,0,0,0,0,0,0,0,0,0,0,541.45
0.33,0.57,0.23,0.85,3.26,0.09,0,0,0,0,0,0,0,0,0,0,0,544.3
0.33,0.57,0.23,0.85,3.26,0.09,0,0,0,0,0,0,0,0,0,0,0,549.3
0.24,0,0,3,11,1,0,13.5,0,0,0,0,0,0,0,0,0,468
0.16,0,0,2.1,10.15,1.05,0,14.25,0,0,0,0,0,0,0,0,0,573
0.23,0,0,0.06,10.24,3.96,0,14.17,0,0,0,0,0,0,0,0,0,546
0.24,0,0,0.02,4.96,4.03,0,15.99,0,0,0,0,0,0,0,0,0,647
0.24,0,0,0.71,4.97,2.82,0,16.08,0,0,0,0,0,0,0,0,0,669
0.24,0,0,1.4,4.98,1.52,0,16.06,0,0,0,0,0,0,0,0,0,671
0.24,0,0,0.02,4.97,4.03,0,16.02,0,0,0,0.029,0,0,0,0,0,651
0.25,0,0,0.02,4.97,4.03,0.06,16.01,0,0,0,0.013,0,0,0,0,0,641
0,0,0,0,18.93518625,0,0,0,0.437633173,0,0,0,0,0,0,0,0,587.15
0,0,0,0,20.97933119,0,0,0,0.781186076,0,0,0,0,0,0,0,0,547.15
0,0,0,0,20.0418843,0,0,0,1.260770776,0,0,0,0,0,0,0,0,597.15
0,0,0,0,20.35746055,0,0,0,1.759573493,0,0,0,0,0,0,0,0,606.15
0,0,0,0,19.45485638,0,0,1.075959635,0,0,0,0,0,0,0,0,0,582.15
0,0,0,0,19.65065154,0,0,2.077497732,0,0,0,0,0,0,0,0,0,585.15
0,0,0,0,20.05528,0,0,2.764964924,0,0,0,0,0,0,0,0,0,593.15
0,0,0,0,20.14730326,0,0,3.795674034,0,0,0,0,0,0,0,0,0,607.15
0,0,0,0.534149107,18.75326687,0,0,0,0,0,0,0,0,0,0,0,0,554.15
0,0,0,1.404433871,18.76877964,0,0,0,0,0,0,0,0,0,0,0,0,538.15
0,0,0,1.831036007,18.77638379,0,0,0,0,0,0,0,0,0,0,0,0,504.15
0,0,0,3.021902521,18.79761091,0,0,0,0,0,0,0,0,0,0,0,0,481.15
0,0,0,0,19.0397371,0,0,0,0,0,0.58582061,0,0,0,0,0,0,565.15
0,0,0,0,19.22462999,0,0,0,0,0,1.49654351,0,0,0,0,0,0,557.15
0,0,0,0,19.0168938,0,0,0,0,0,1.575317046,0,0,0,0,0,0,556.15
0,0,0,0,20.73241339,0,0,0,0,0,2.895949708,0,0,0,0,0,0,512.15
0,0.380189728,0,0,18.74492604,0,0,0,0,0,0,0,0,0,0,0,0,543.15
0,0.779888695,0,0,18.84936253,0,0,0,0,0,0,0,0,0,0,0,0,532.15
0,1.716194129,0,0,18.64585187,0,0,0,0,0,0,0,0,0,0,0,0,485.15
0,3.131784675,0,0,18.03052697,0,0,0,0,0,0,0,0,0,0,0,0,452.15
0,0,0,0,18.93208119,1.522037605,0,0,0,0,0,0,0,0,0,0,0,536.15
0,0,0,0,19.79549462,2.224716444,0,0,0,0,0,0,0,0,0,0,0,513.15
0,0,0,0,18.74661273,3.851546618,0,0,0,0,0,0,0,0,0,0,0,494.15
0,0,0,0,18.86645181,4.884518145,0,0,0,0,0,0,0,0,0,0,0,476.15
0,0,0,0,18.91155457,0,0,0,0,0,0,0.509936251,0,0,0,0,0,564.15
0,0,0,0,18.77286769,0,0,0,0,0,0,0.985148375,0,0,0,0,0,564.15
0,0,0,0,18.7360554,0,0,0,0,0,0,1.474824851,0,0,0,0,0,549.15
0,0,0,0,18.70182729,0,0,0,0,0,0,1.930126729,0,0,0,0,0,539.15
0,0,0.44019382,0,19.86115731,0,0,0,0,0,0,0,0,0,0,0,0,558.15
0,0,0.960458583,0,19.65063381,0,0,0,0,0,0,0,0,0,0,0,0,540.15
0,0,1.470401957,0,20.06256077,0,0,0,0,0,0,0,0,0,0,0,0,545.15
0,0,1.97048666,0,19.73987503,0,0,0,0,0,0,0,0,0,0,0,0,531.15
0,0,0,0,19.38600696,0,0,0,0,0,0,0,0.722592856,0,0,0,0,556.15
0,0,0,0,19.51192272,0,0,0,0,0,0,0,1.421262345,0,0,0,0,542.15
0,0,0,0,18.92409079,0,0,0,0,0,0,0,2.455999385,0,0,0,0,547.15
0,0,0,0,18.82263075,0,0,0,0,0,0,0,2.52463644,0,0,0,0,544.15
0,0,0,0,19.26777572,0,0.442945981,0,0,0,0,0,0,0,0,0,0,579.15
0,0,0,0,19.37787182,0,0.813823966,0,0,0,0,0,0,0,0,0,0,559.15
0,0,0,0,19.60236985,0,1.773787673,0,0,0,0,0,0,0,0,0,0,540.15
0,0,0,0,19.82585337,0,2.662689039,0,0,0,0,0,0,0,0,0,0,544.15
0,0,0,0,19.25165859,0,0,0,0,1.580150768,0,0,0,0,0,0,0,539.15
0,0,0,0,18.86131617,0,0,0,0,2.970018244,0,0,0,0,0,0,0,518.15
0,0,0,0,18.36220974,0,0,0,0,4.456034763,0,0,0,0,0,0,0,503.15
0,0,0,0,19.7,0,0,0,0,1.99,0,0,0,0,0,0,0,452.15
0,0,0,0,30.75827575,0,0,0,0.348715275,0,0,0,0,0,0,0,0,246.15
0,0,0,0,29.71149283,0,0,0,0.928199388,0,0,0,0,0,0,0,0,279.15
0,0,0,0,31.10067388,0,0,0,1.078299004,0,0,0,0,0,0,0,0,211.15
0,0,0,0,30.50734127,0,0,0,1.479808865,0,0,0,0,0,0,0,0,220.15
0,0,0,0,31.13634093,0,0,1.069819808,0,0,0,0,0,0,0,0,0,232.15
0,0,0,0,30.71504619,0,0,1.921050508,0,0,0,0,0,0,0,0,0,250.15
0,0,0,0,30.99978288,0,0,3.206034624,0,0,0,0,0,0,0,0,0,275.15
0,0,0,0,30.48049237,0,0,3.848984864,0,0,0,0,0,0,0,0,0,293.15
0,0,0,0.53096366,30.96548657,0,0,0,0,0,0,0,0,0,0,0,0,218.15
0,0,0,0.747514488,29.84887334,0,0,0,0,0,0,0,0,0,0,0,0,207.15
0,0,0,1.432055889,31.09410288,0,0,0,0,0,0,0,0,0,0,0,0,156.15
0,0,0,0,31.02358811,0,0,0,0,0,0.750234479,0,0,0,0,0,0,226.15
0,0,0,0,31.5169409,0,0,0,0,0,1.163667761,0,0,0,0,0,0,216.15
0,0,0,0,30.76641346,0,0,0,0,0,2.179950664,0,0,0,0,0,0,221.15
0,0,0,0,30.8359545,0,0,0,0,0,3.037431952,0,0,0,0,0,0,184.15
0,0.387750363,0,0,30.23782352,0,0,0,0,0,0,0,0,0,0,0,0,207.15
0,0.552365593,0,0,30.95269051,0,0,0,0,0,0,0,0,0,0,0,0,206.15
0,0.939862589,0,0,31.3625027,0,0,0,0,0,0,0,0,0,0,0,0,158.15
0,0,0,0,30.77361139,1.362786744,0,0,0,0,0,0,0,0,0,0,0,199.15
0,0,0,0,31.0112444,2.643438779,0,0,0,0,0,0,0,0,0,0,0,153.15
0,0,0,0,30.9910482,0,0,0,0,0,0,0.490607989,0,0,0,0,0,228.15
0,0,0,0,31.03005246,0,0,0,0,0,0,0.995506729,0,0,0,0,0,205.15
0,0,0,0,31.18034837,0,0,0,0,0,0,1.417280911,0,0,0,0,0,201.15
0,0,0,0,30.80617163,0,0,0,0,0,0,1.983237187,0,0,0,0,0,191.15
0,0,0.427853034,0,30.77354704,0,0,0,0,0,0,0,0,0,0,0,0,240.15
0,0,0.909889896,0,30.61080538,0,0,0,0,0,0,0,0,0,0,0,0,198.15
0,0,1.488281703,0,30.68074947,0,0,0,0,0,0,0,0,0,0,0,0,222.15
0,0,1.928244447,0,31.539848,0,0,0,0,0,0,0,0,0,0,0,0,171.15
0,0,0,0,31.08637698,0,0,0,0,0,0,0,0.667690603,0,0,0,0,209.15
0,0,0,0,30.88919545,0,0,0,0,0,0,0,0.803180685,0,0,0,0,237.15
0,0,0,0,31.23067385,0,0,0,0,0,0,0,1.480990341,0,0,0,0,189.15
0,0,0,0,31.06879659,0,0,0,0,0,0,0,2.305268232,0,0,0,0,167.15
0,0,0,0,30.96407033,0,0.476384429,0,0,0,0,0,0,0,0,0,0,219.15
0,0,0,0,30.56496537,0,0.782376822,0,0,0,0,0,0,0,0,0,0,214.15
0,0,0,0,30.80113507,0,1.863268528,0,0,0,0,0,0,0,0,0,0,169.15
0,0,0,0,30.92126546,0,2.467666067,0,0,0,0,0,0,0,0,0,0,158.15
0,0,0,0,30.81985175,0,0,0,0,1.539505302,0,0,0,0,0,0,0,211.15
0,0,0,0,30.74696415,0,0,0,0,2.797165654,0,0,0,0,0,0,0,156.15
0.004,0.03,0.075,0,22.08697359,0,0,1.835672916,0,0,0,0,0,0,0.002,0,0,480.3722222
0.004,0.03,0.075,0,21.65543792,0,0,3.75360924,0,0,0,0,0,0,0.002,0,0,510.9277778
0.004,0.03,0.075,0,21.28666036,0,0,5.392620624,0,0,0,0,0,0,0.002,0,0,527.5944444
0.004,0.03,0.075,0,21.12676056,0,0,6.103286385,0,0,0,0,0,0,0.002,0,0,544.2611111
0.004,0.03,0.075,0,22.5,0,0,0,0,0,0,0,0,0,0.002,0,0,435.9277778
0.004,0.03,0.075,0,22.4865081,0,0,0,0,0,0,0,0.059964022,0,0.002,0,0,444.2611111
0.004,0.03,0.075,0,22.40143369,0,0,0,0,0,0,0,0.438072481,0,0.002,0,0,463.7055556
0.004,0.03,0.075,0,22.32807383,0,0,0,0,0,0,0,0.764116304,0,0.002,0,0,455.3722222
0.004,0.03,0.075,0,22.13695396,0,0,0,0,0,0,0,1.613537977,0,0.002,0,0,422.0388889
0.004,0.03,0.075,0,22.49347689,0,0.028991592,0,0,0,0,0,0,0,0.002,0,0,444.2611111
0.004,0.03,0.075,0,22.48560921,0,0.063959066,0,0,0,0,0,0,0,0.002,0,0,466.4833333
0.004,0.03,0.075,0,22.47303236,0,0.119856173,0,0,0,0,0,0,0,0.002,0,0,466.4833333
0.004,0.03,0.075,0,22.40812668,0,0.408325864,0,0,0,0,0,0,0,0.002,0,0,458.15
0.004,0.03,0.075,0,22.3015165,0,0.882148875,0,0,0,0,0,0,0,0.002,0,0,441.4833333
0.004,0.03,0.517309988,0,22.38360525,0,0.89,0,0,0,0,0,0,0,0.002,0,0,458.15
0.004,0.03,0.980295079,0,22.27943361,0,0.89,0,0,0,0,0,0,0,0.002,0,0,458.15
0.004,0.03,1.390395425,0,22.18716103,0,0.89,0,0,0,0,0,0,0,0.002,0,0,433.15
0.004,0.03,1.903080243,0,22.07180695,0,0.89,0,0,0,0,0,0,0,0.002,0,0,427.5944444
0.004,0.03,2.846594773,0,21.85951618,0,0.89,0,0,0,0,0,0,0,0.002,0,0,383.15
0.004,0.03,3.707270101,0,21.66586423,0,0.89,0,0,0,0,0,0,0,0.002,0,0,347.0388889
0.004,0.03,0.075,0,22.44612929,0,0,0,0.239425379,0,0,0,0,0,0.002,0,0,447.0388889
0.004,0.03,0.075,0,22.40812668,0,0,0,0.408325864,0,0,0,0,0,0.002,0,0,444.2611111
0.004,0.03,0.075,0,22.3302898,0,0,0,0.754267566,0,0,0,0,0,0.002,0,0,447.0388889
0.004,0.03,0.075,0,22.26620485,0,0,0,1.03908956,0,0,0,0,0,0.002,0,0,447.0388889
0.004,0.03,0.075,0,22.12389381,0,0,0,1.671583088,0,0,0,0,0,0.002,0,0,444.2611111
0.004,0.03,0.075,0,21.82347236,0,0,0,3.006789525,0,0,0,0,0,0.002,0,0,444.2611111
0.004,0.03,0.075,0,22.36580517,0.596421471,0,0,0,0,0,0,0,0,0.002,0,0,435.9277778
0.004,0.03,0.075,0,22.27061269,1.019499159,0,0,0,0,0,0,0,0,0.002,0,0,427.5944444
0.004,0.03,0.075,0,22.07180695,1.903080243,0,0,0,0,0,0,0,0,0.002,0,0,410.9277778
0.004,0.03,0.075,0,21.78121975,3.194578896,0,0,0,0,0,0,0,0,0.002,0,0,374.8166667
0.004,0.03,0.075,0,21.51051625,4.397705545,0,0,0,0,0,0,0,0,0.002,0,0,360.9277778
0.004,0.03,0.075,2.200488998,22.00488998,0,0,0,0,0,0,0,0,0,0.002,0,0,363.7055556
0.004,0.03,0.075,3.836907395,21.63669584,0,0,0,0,0,0,0,0,0,0.002,0,0,263.7055556
0.004,0.03,0.075,0,19.8,0,0,0,0,0,0,0,0,0,0.002,0,0,508.15
0.004,0.03,0.075,0,21.4,0,0,0,0,0,0,0,0,0,0.002,0,0,474.8166667
0.004,0.03,0.075,0,22.7,0,0,0,0,0,0,0,0,0,0.002,0,0,438.7055556
0.004,0.03,0.075,0,23.9,0,0,0,0,0,0,0,0,0,0.002,0,0,413.7055556
0.004,0.03,0.075,0,24.8,0,0,0,0,0,0,0,0,0,0.002,0,0,402.5944444
0.004,0.03,0.075,0,27.2,0,0,0,0,0,0,0,0,0,0.002,0,0,347.0388889
0.004,0.03,0.075,0,28,0,0,0,0,0,0,0,0,0,0.002,0,0,308.15
0.004,0.03,0.075,0,28.8,0,0,0,0,0,0,0,0,0,0.002,0,0,285.9277778
0.004,0.03,0.075,0,29.55,0,0,0,0,0,0,0,0,0,0.002,0,0,249.8166667
0.017,0.12,0,8.1,0,0,0,0,0,0,0,0,0,0,0.017,0,0,822.15
0.017,0.12,0,8.1,0,0,0,0,0,0,0,0,0,0,0.206,0,0,738.15
0.017,0.12,0,8.1,0,0,0,0,0,0,0,0,0,0,0.206,0,0,731.15
0.017,0.12,0,8.1,0,0,0,0,0,0,0,0,0,0,0.293,0,0,598.15
0.017,0.12,0,8.1,0,0,0,0,0,0,0,0,0,0,0.293,0,0,620.15
0.014,4.95,0,7.8,0,0,0,0,0,0,0,0,0,0,0.011,0,0,644.15
0.014,4.95,0,7.8,0,0,0,0,0,0,0,0,0,0,0.258,0,0,535.15
0.014,4.95,0,7.8,0,0,0,0,0,0,0,0,0,0,0.258,0,0,545.15
0.014,4.95,0,7.8,0,0,0,0,0,0,0,0,0,0,0.387,0,0,524.15
0.014,4.95,0,7.8,0,0,0,0,0,0,0,0,0,0,0.387,0,0,489.15
0.022,10.24,0,8.19,0,0,0,0,0,0,0,0,0,0,0.014,0,0,417.15
0.022,10.24,0,8.19,0,0,0,0,0,0,0,0,0,0,0.206,0,0,323.15
0.022,10.24,0,8.19,0,0,0,0,0,0,0,0,0,0,0.206,0,0,331.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.257,0,0,640.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.257,0,0,674.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.416,0,0,645.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.416,0,0,558.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.596,0,0,618.15
0.008,0.094,0,12.5,0,0,0,0,0,0,0,0,0,0,0.596,0,0,584.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.29,0,0,433.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.29,0,0,460.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.466,0,0,446.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.466,0,0,396.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.614,0,0,465.15
0.012,5.03,0,11.7,0,0,0,0,0,0,0,0,0,0,0.614,0,0,257.15
0.014,10.13,0,12.23,0,0,0,0,0,0,0,0,0,0,0.018,0,0,382.15
0.014,10.13,0,12.23,0,0,0,0,0,0,0,0,0,0,0.018,0,0,384.15
0.34,1.06,0.2,0.08,0.75,0.02,0,0,0,0,0,0,0,0,0,0,0,618.5
0.33,0.62,0.21,0.1,0.89,0.05,0,0,0,0,0,0,0,0,0,0,0,643.5
0.19,1.37,0.14,0.2,0.56,0.31,0,0,0,0,0,0,0,0,0,0,0,693.5
0.29,1.67,0.26,0.12,0.21,0.04,0,0,0,0,0,0,0,0,0,0,0,653.5
0.33,1.54,0.23,0.15,0.18,0.05,0,0,0,0,0,0,0,0,0,0,0,613.5
0.33,1.48,0.18,0.16,0.26,0.27,0,0,0,0,0,0,0,0,0,0,0,613.5
0.38,1.49,0.25,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,593.5
0.39,0.89,0.16,0.88,0.25,0,0,0,0,0,0,0,0,0,0,0,0,593.5
0.48,0.86,0.25,0.98,0.18,0.04,0,0,0,0,0,0,0,0,0,0,0,573.5
0.41,0.67,0.23,1.01,0.2,0.23,0,0,0,0,0,0,0,0,0,0,0,603.5
0.33,0.74,0.23,0.07,3.47,0,0,0,0,0,0,0,0,0,0,0,0,583.5
0.4,0.62,0.26,0.28,3.45,0.1,0,0,0,0,0,0,0,0,0,0,0,553.5
0.33,0.57,0.23,0.85,3.26,0.09,0,0,0,0,0,0,0,0,0,0,0,573.5
0.32,0.61,0.28,1.52,3.22,0.22,0.03,0,0,0,0,0,0,0,0,0,0,593.5
0.36,0.52,0.22,1.58,1.52,0.27,0,0,0,0,0,0,0,0,0,0,0,598.5
0.38,0.69,0.2,0.95,1.58,0.26,0,0,0,0,0,0,0,0,0,0,0,593.5
0.32,0.56,0.27,0.74,2.37,0.51,0,0,0,0,0,0,0,0,0,0,0,608.5
0.31,0.62,0.2,0.64,2.63,0.58,0,0,0,0,0,0,0,0,0,0,0,603.5
0.38,0.56,0.15,0.74,2.42,0.46,0,0,0,0,0,0,0,0,0,0,0,578.5
0.42,0.67,0.31,0.72,2.53,0.48,0,0,0,0,0,0,0,0,0,0,0,563.5
0.32,0.51,0.19,1.37,3.02,0.48,0.18,0,0,0,0,0,0,0,0,0,0,588.5
0.25,0.52,0.15,1.14,3.33,0.65,0.16,0,0,0,0,0,0,0,0,0,0,603.5
0.35,0.44,0.14,1.43,4.23,0.13,0,0,0,0,0,0,0,0,0,0,0,563.5
0.33,0.51,0.17,1.44,4.16,0.31,0,0,0,0,0,0,0,0,0,0,0,568.5
0.26,0.55,0.21,3.34,0.25,0.54,0,0,0,0,0,0,0,0,0,0,0,633.5
0.55,0.87,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.5
0.51,0.72,0.27,0.94,0.15,0.05,0.2,0,0,0,0,0,0,0,0,0,0,563.5
0.4,1.38,0.24,0.53,0.74,0.16,0,0,0,0,0,0,0,0,0,0,0,573.5
0.4,1.34,0.21,0.53,1.03,0.22,0,0,0,0,0,0,0,0,0,0,0,573.5
0.44,0.58,0.23,1.26,1.4,0.11,0,0,0,0,0,0,0,0,0,0,0,573.5
0.39,0.62,0.23,1.11,1.44,0.18,0,0,0,0,0,0,0,0,0,0,0,593.5
0.35,0.65,0.13,0.55,1.27,0,0,0,0,0,0,0,0,0,0,0,0,618.5
0.37,0.89,0.28,0.63,1.24,0.05,0,0,0,0,0,0,0,0,0,0,0,588.5
0.41,0.48,0.13,0.17,1.75,0.22,0,0,0,0,0,0,0,0,0,0,0,593.5
0.15,0.41,0.25,0.9,3.02,0.15,0,0,0,0,0,0,0,0,0,0,0,688.5
0.14,0.45,0.28,1.11,4.11,0.24,0,0,0,0,0,0,0,0,0,0,0,663.5
0.2,0.53,0.11,0.5,1.75,0.25,0,0,0,0,0,0,0,0,0,0,0,663.5
0.2,0.71,0.15,0.8,1.13,0.05,0,0,0,0,0,0,0,0,0,0,0,688.5
0.18,0.93,0.26,1.11,1.34,0.11,0,0,0,0,0,0,0,0,0,0,0,673.5
0.19,0.9,0.21,1.08,1.87,0.18,0,0,0,0,0,0,0,0,0,0,0,683.5
0.49,0.52,0.17,1.28,1.5,0.29,0,0,0,0,0,0,0,0,0,0,0,533.5
0.38,0.56,0.12,1.21,3,0.29,0,0,0,0,0,0,0,0,0,0,0,553.5
0.38,0.57,0.12,1.22,4.95,0.29,0,0,0,0,0,0,0,0,0,0,0,533.5
0.37,0.52,0.12,2.9,1.51,0.29,0,0,0,0,0,0,0,0,0,0,0,553.5
0.36,0.56,0.16,1.22,1.46,0.31,0,0,0,0,0,0,0,0,0,0,0,573.5
0.39,0.2,0.26,1.22,1.66,0.26,0,0,0,0,0,0,0,0,0,0,0,583.5
0.4,0.84,0.27,1.23,1.75,0.27,0,0,0,0,0,0,0,0,0,0,0,543.5
0.007,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0.0014,0,0,663.7
0.013,0,0,0,8.66,0,0,0,0,0,0,0,0,0,0.0013,0,0,663.7
0.89,0.29,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.7055556
0.63,0.87,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.0388889
0.35,1.85,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.9277778
0.37,0.68,0.21,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,577.5944444
0.38,0.72,0.21,0.49,1.32,0,0,0,0,0,0,0,0,0,0,0,0,605.3722222
0.29,0.77,0.3,0.68,0,0.2,0,0,0,0,0,0,0,0,0,0,0,649.8166667
0.37,0.77,0.15,0.98,0,0.21,0,0,0,0,0,0,0,0,0,0,0,610.9277778
0.42,0.78,0.24,0.8,1.79,0.33,0,0,0,0,0,0,0,0,0,0,0,560.9277778
0.36,0.63,0.19,0,1.84,0.23,0,0,0,0,0,0,0,0,0,0,0,610.9277778
0.42,0.68,0.16,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,605.3722222
1.02,0.36,0.33,1.41,0.2,0,0,0,0,0,0,0,0,0,0,0,0,416.4833333
0.43,0.74,0.23,0.92,0,0,0.16,0,0,0,0,0,0,0,0,0,0,599.8166667
0.3,0.91,0.31,0.52,0.61,0.17,0,0,0,0,0,0,0,0,0,0,0,638.7055556
0.38,1.08,0.7,0.4,0.34,0.11,0,0,0,0,0,0,0,0,0,0,0,599.8166667
0.043,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,636
0.056,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,628.3
0.086,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,613.5
0.16,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,580.4
0.02,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,573.8
0.0355,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,566.8
0.048,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,557.7
0.135,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0,0,0,524.4
0.0168,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,483.9
0.027,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,478.3
0.0399,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,472
0.115,0,0,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,438.8
0.47,1.02,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.15
0.47,3.33,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.5944444
0.44,4.87,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.9277778
