图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
221,30Mn2MoW,0.29,0.2,1.7,0,0,0,0,0,0,0,0.89,0,0,0,0,0.62,0,0,0,340,613.15
222,35SiMn2MoV,0.37,0.75,1.7,0,0,0,0,0,0,0,0,0.075,0,0,0,0.45,0,0,0,310,583.15
223,37SiMn2MoWV,0.36,0.93,1.68,0.006,0.004,0,0.08,0.08,0,0.25,0.04,0.09,0,0,0,0.45,0,0,0,290,563.15
224,40SiMn2MoWV,0.44,0.85,1.76,0,0,0,0,0,0,0,0.96,0.1,0,0,0,0.42,0,0,0,290,563.15
225,40Si2Mn2WMoVR,0.39,1.71,1.57,0.018,0.004,0,0,0,0,0,0.96,0.16,0,0,0,0.47,0,0,0,305,578.15
226,42SiMnMoV,0.43,1.76,1.57,0.012,0.01,0,0.1,0,0,0.07,0,0.1,0,0,0,0.48,0,0,0,295,568.15
227,15SiMn3Mo,0.154,1.1,3.29,0.021,0.008,0,0.065,0.09,0,0.049,0,0,0,0,0,0.625,0,0,0,290,563.15
228,H15Mn2SiCrMo,0.155,0.875,1.77,0.02,0.003,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,380,653.15
229,27SiMn2Mo,0.29,1.17,1.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0.13,0,0,0,340,613.15
230,38CrSi,0.36,1.19,0.45,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
231,40CrSi,0.41,1.36,0.5,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
232,40CrSi,0.42,1.01,0.38,0,0,0,1.5,0,0,0.25,0,0,0,0,0,0,0,0,0,315,588.15
233,40CrSiV,0.4,1.52,0.42,0,0,0,1.24,0,0,0,0,0.12,0,0,0,0,0,0,0,325,598.15
234,30CrMnSi,0.28,1,1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
235,30CrMnSi,0.28,1.49,0.92,0,0,0,0.99,0,0,0.12,0,0,0,0,0,0,0,0,0,345,618.15
236,30CrMnSi,0.29,1.05,0.98,0,0,0,0.91,0,0,0.13,0,0,0,0,0,0,0,0,0,320,593.15
237,30CrMnSiA,0.28,1.1,0.91,0.016,0.01,0,1,0.13,0,0.13,0,0,0,0,0,0,0,0,0,307,580.15
238,45CrMnSi,0.43,1.38,0.95,0,0,0,1.06,0,0,0.03,0,0,0,0,0,0,0,0,0,295,568.15
240,30CrMnSiNiA,0.3,1.135,1.135,0.017,0.006,0,0.95,0.15,0,1.61,0,0,0,0,0,0,0,0,0,310,583.15
245,20CrMnTi,0.66,0,0.98,0,0,0,1.16,0,0.13,0,0,0,0.135,0,0,0,0,0,0,246.5,519.65
248,15CrMn2SiMo,0.17,0.55,2.2,0,0,0,0.55,0,0,0,0,0,0,0,0,0.45,0,0,0,359,632.15
249,15CrMn2SiMoA,1.04,0.7,2.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0.5,0,0,0,70,343.15
250,30CrMnMoTiA,0.31,0.29,0.96,0.015,0.009,0,1.17,0,0,0,0,0,0.21,0,0,0.21,0,0,0,350,623.15
251,40CrMnSiMoTi,0.39,1.39,1.05,0.009,0.005,0.036,1.4,0.05,0,0.03,0,0,0.08,0,0,0.49,0,0,0,283,556.15
252,40CrMnSiMoV,0.38,1.22,0.88,0.011,0.006,0,1.16,0,0,0,0,0.08,0,0,0,0.51,0,0,0,280,553.15
253,40CrMnSiMoVR,0.38,1.61,1.05,0.017,0.006,0,1.22,0,0,0,0,0.18,0,0,0,0.45,0,0,0,302.5,575.65
254,40Cr5Mo1SiV,0.37,1.05,0.5,0.009,0.004,0,5.1,0,0,0,0,0.53,0,0,0,1.4,0,0,0,310,583.15
255,40CrMnSiNiMo,0.38,0.66,1.45,0,0,0,0.52,0,0,0.57,0,0,0,0,0,0.19,0,0,0,295,568.15
256,40CrMnSiNiMo,0.38,0.7,1.08,0,0,0,0.4,0,0,0,0,0,0,0,0,0.11,0,0,0,330,603.15
257,42SiMnCrMoVR,0.425,1.75,1.23,0.02,0.005,0.038,1.28,0.062,0,0.03,0,0.2,0,0,0,0.38,0,0,0,247.5,520.65
258,50CrMnSiMo,0.5,1.48,1.05,0,0,0,1.2,0,0,0,0,0,0,0,0,0.2,0,0,0,275,548.15
259,40B,0.405,0.3,0.75,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,290,563.15
260,45B,0.45,0.3,0.68,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,300,573.15
261,50B,0.51,0.3,0.75,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,280,553.15
262,50BA,0.52,0.27,0.76,0.01,0.008,0,0,0,0,0,0,0,0.04,0.0022,0,0,0,0,0,253,526.15
263,15MnB,0.15,0.15,1.31,0.023,0.013,0,0.05,0.06,0,0.06,0,0,0,0.0005,0,0,0,0,0,410,683.15
264,20Mn2B,0.21,0,2.04,0,0,0,0.04,0,0,0.03,0,0,0,0.0015,0,0,0,0,0,380,653.15
265,20Mn2B,0.21,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,160,433.15
266,40Mn2B,0.4,0,2.04,0,0,0,0.04,0,0,0.03,0,0,0,0.0015,0,0,0,0,0,330,603.15
267,40MnB,0.4,0.29,1.31,0.03,0.011,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,285,558.15
268,40MnB,0.42,0.29,1.61,0.006,0.019,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,310,583.15
269,40MnBR,0.39,0.25,1.27,0.016,0.006,0,0.02,0,0,0.03,0,0,0,0.004,0,0,0,0,0,295,568.15
271,40CrB,0.38,0.23,0.81,0,0,0,0.57,0,0,0,0,0,0,0.005,0,0,0,0,0,285,558.15
273,40CrMnMoVB,0.45,0.29,1.3,0,0,0,0.76,0,0,0,0,0.47,0,0.0052,0,0.17,0,0,0,305,578.15
274,15MnVB,0.18,0,1.36,0,0,0,0,0,0,0,0,0.08,0.02,0.0025,0,0,0,0,0,430,703.15
275,20MnVB,0.2,0.32,1.24,0,0,0,0.03,0.08,0,0.1,0,0.17,0,0.002,0,0,0,0,0,230,503.15
276,40MnVB,0.42,0.26,1.24,0,0,0,0,0,0,0,0,0.09,0,0.0037,0,0,0,0,0,305,578.15
277,42MnVB,0.43,0.25,1.18,0,0,0,0.04,0.1,0,0.12,0,0.1,0.02,0.002,0,0,0,0,0,0,273.15
278,40MnWB,0.4,0.24,1.33,0.013,0.008,0,0.02,0.11,0,0.03,0.69,0,0,0.0032,0,0,0,0,0,320,593.15
279,10CrNiMoVB,0.11,0.29,0.78,0.009,0.007,0.01,0.5,0.29,0,0.99,0,0.09,0.02,0.003,0,0.52,0,0,0,470,743.15
281,12MoVWBSiR,0.16,0.55,0.57,0,0,0,0,0,0,0,0.25,0.37,0.057,0.005,0,0.56,0,0,0,370,643.15
282,15CrMoVB,0.13,0.33,0.6,0.009,0.014,0.042,1.03,0.29,0,0.06,0,0.06,0,0.002,0,0.45,0,0,0,480,753.15
284,18CrMnMoB,0.22,0.23,1.4,0,0,0,1.81,0,0,0,0,0,0,0.004,0,0.63,0,0,0,350,623.15
285,18CrMnMoB,0.19,0.26,1.68,0.015,0.005,0,1.2,0,0,0.2,0,0,0,0.0011,0,0.5,0,0,0,330,603.15
286,18Mn2CrMoB,0.2,0,1.66,0,0,0,1.16,0,0,0,0,0,0,0.0012,0,0.49,0,0,0,330,603.15
287,18Cr2Mn2MoTiB,0.19,0.33,1.52,0.018,0.006,0,1.66,0,0,0,0,0,0.1,0.0032,0,0.2,0,0,0,387,660.15
290,25MnTiBR,0.25,0.33,1.42,0.013,0.009,0,0.04,0.06,0,0.05,0,0,0.085,0.0029,0,0,0,0,0,395,668.15
291,35Mo2VB,0.33,0.31,0.59,0.025,0.002,0,0,0,0,0,0,0.48,0,0.003,0,2.01,0,0,0,290,563.15
292,35Mo2VB,0.385,0.275,0.625,0.025,0.005,0,0,0,0,0,0,0.595,0,0.004,0,2.065,0,0,0,305,578.15
293,30Ni,0.33,0.21,0.62,0,0,0,0,0,0,0.89,0,0,0,0,0,0.05,0,0,0,365,638.15
294,40Ni,0.39,0.2,0.86,0,0,0,0.13,0,0,1.12,0,0,0,0,0,0,0,0,0,330,603.15
295,40Ni,0.43,0.21,0.95,0,0,0,0.15,0,0,0.93,0,0,0,0,0,0,0,0,0,315,588.15
296,40Ni,0.43,0.36,0.75,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,310,583.15
297,40Ni5,0.43,0.24,0.43,0.014,0.014,0.031,0.04,0,0,5,0,0,0.008,0,0,0,0,0,0,250,523.15
299,0Ni9,0.05,0.2,0.77,0.003,0.005,0.003,0.01,0.01,0,9.49,0,0,0,0,0,0.05,0,0,0,350,623.15
300,Ni9,0.09,0.21,0.61,0.009,0.018,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,370,643.15
301,12CrNi2,0.11,0.3,0.5,0,0,0,0.64,0,0,1.59,0,0,0,0,0,0,0,0,0,405,678.15
302,12CrNi2,0.15,0.3,0.55,0,0,0,0.82,0,0,1.3,0,0,0,0,0,0,0,0,0,395,668.15
303,12CrNi3,0.11,0.13,0.38,0,0,0,0.87,0,0,3.26,0,0,0,0,0,0,0,0,0,420,693.15
305,12CrNi3,0.13,0.33,0.35,0,0,0,0.86,0,0,3.42,0,0,0,0,0,0,0,0,0,380,653.15
306,12CrNi3,0.14,0.28,0.36,0,0,0,0.68,0,0,3.18,0,0,0,0,0,0,0,0,0,380,653.15
307,12CrNi3,0.8,0.28,0.36,0,0,0,0.68,0,0,3.18,0,0,0,0,0,0,0,0,0,170,443.15
308,12CrNi3,1,0.12,0.3,0,0,0,0.9,0,0,3.27,0,0,0,0,0,0,0,0,0,150,423.15
310,12Cr2Ni4,0.1,0.2,0.34,0,0,0,1.66,0,0,3.51,0,0,0,0,0,0,0,0,0,420,693.15
311,12Cr2Ni4,0.11,0.09,0.38,0,0,0,1.33,0,0,4.15,0,0,0,0,0,0,0,0,0,400,673.15
313,12Cr2Ni4,0.15,0.2,0.45,0,0,0,1.54,0,0,4.03,0,0,0,0,0,0,0,0,0,390,663.15
314,12Cr2Ni4,1.02,0.27,0.47,0,0,0,1.22,0,0,4.15,0,0,0,0,0,0,0,0,0,125,398.15
315,12Cr2Ni4,0.89,0.19,0.39,0,0,0,1.58,0,0,4,0,0,0,0,0,0,0,0,0,190,463.15
318,15Cr2Ni2,0.16,0.31,0.5,0.013,0.014,0.03,1.95,0,0,2.02,0,0.01,0,0,0,0.03,0,0,0,450,723.15
320,20CrNi,0.2,0.15,0.71,0,0,0,0.8,0,0,1.13,0,0,0,0,0,0,0,0,0,410,683.15
321,20CrNi,0.96,0.26,0.74,0,0,0,0.81,0,0,1.19,0,0,0,0,0,0,0,0,0,150,423.15
324,20CrNi2,0.19,0.3,0.55,0,0,0,0.81,0,0,1.52,0,0,0,0,0,0,0,0,0,375,648.15
325,20CrNi3,0.17,0,0,0,0,0,0.9,0,0,3.38,0,0,0,0,0,0,0,0,0,340,613.15
328,20CrNi3A,0.23,0.26,0.4,0,0,0,0.74,0,0,2.99,0,0,0,0,0,0,0,0,0,320,593.15
329,20Cr2Ni4,0.18,0,0,0,0,0,1.68,0,0,3.73,0,0,0,0,0,0,0,0,0,330,603.15
330,20Cr2Ni4,0,0,0,0,0,0,1.68,0,0,3.73,0,0,0,0,0,0,0,0,0,120,393.15
331,30CrNi3,0.32,0.2,0.3,0,0,0,0.69,0,0,2.95,0,0,0,0,0,0,0,0,0,320,593.15
332,30CrNi3,0.33,0.32,0.51,0,0,0,0.83,0,0,3.38,0,0,0,0,0,0,0,0,0,305,578.15
333,35Cr2Ni4,0.36,0.32,0.53,0,0,0,1.86,0,0,3.74,0,0,0,0,0,0,0,0,0,265,538.15
334,37CrNi3,0.4,0.26,0.43,0,0,0,1.1,0,0,3.5,0,0,0,0,0,0,0,0,0,265,538.15
335,37CrNi3,0.35,0,0,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,270,543.15
336,37CrNi3,0.39,0,0,0,0,0,1.49,0,0,2.9,0,0,0,0,0,0,0,0,0,250,523.15
337,37CrNi3,0.35,0.19,0.37,0,0,0,1.32,0,0,3.6,0,0,0,0,0,0,0,0,0,280,553.15
338,40CrNi,0.38,0.21,0.72,0,0,0,0.5,0,0,1.3,0,0,0,0,0,0,0,0,0,340,613.15
339,40CrNi,0.4,0.27,0.66,0,0,0,0.63,0,0,0.99,0,0,0,0,0,0,0,0,0,305,578.15
340,40CrNi,0.41,0.24,0.55,0,0,0,0.8,0,0,0.93,0,0,0,0,0,0,0,0,0,320,593.15
341,40Cr2Ni4,0.42,0.41,0.6,0,0,0,1.25,0,0,4.4,0,0,0,0,0,0,0,0,0,240,513.15
342,45CrNi,0.44,0.31,0.8,0,0,0,0.96,0,0,0.46,0,0,0,0,0,0,0,0,0,310,583.15
343,50CrNi,0.5,0.4,0.7,0,0,0,0.52,0,0,0.48,0,0,0,0,0,0,0,0,0,300,573.15
344,12CrNi3Mo,0.11,0.26,0,0,0,0,0.68,0,0,3.02,0,0,0,0,0,0.19,0,0,0,385,658.15
345,12CrNi3Mo,0.15,0.35,0,0,0,0,0.84,0,0,3.09,0,0,0,0,0,0.14,0,0,0,370,643.15
346,12CrNi3Mo,0.16,0.2,0,0,0,0,1.02,0,0,3.02,0,0,0,0,0,0.26,0,0,0,355,628.15
347,12Cr2Ni4Mo,0.15,0.2,0,0,0,0,1.16,0,0,4.33,0,0,0,0,0,0.17,0,0,0,370,643.15
348,12Cr2Ni4Mo,0.93,0.3,0,0,0,0,1.18,0,0,4.25,0,0,0,0,0,0.16,0,0,0,125,398.15
349,12Cr2Ni4Mo,0.15,0.2,0,0,0,0,1.16,0,0,4.33,0,0,0,0,0,0.17,0,0,0,365,638.15
351,18CrNiMo,0.17,0,0,0,0,0,1.44,0,0,4.4,0,0,0,0,0,0.5,0,0,0,370,643.15
352,20CrNiMo,0.17,0.28,0,0,0,0,0.49,0,0,1.13,0,0,0,0,0,0.13,0,0,0,0,273.15
354,20CrNiMo,0.18,0.31,0,0,0,0,0.56,0,0,0.52,0,0,0,0,0,0.19,0,0,0,410,683.15
355,20CrNiMo,0.23,0.29,0.95,0,0,0,0.55,0,0,0.53,0,0,0,0,0,0.18,0,0,0,360,633.15
356,20CrNi2Mo,0.21,0.23,0.55,0,0,0,0.47,0,0,1.81,0,0,0,0,0,0.26,0,0,0,360,633.15
357,20CrNi3Mo,0.2,0.29,0.89,0,0,0,1.51,0,0,2.85,0,0,0,0,0,0.46,0,0,0,400,673.15
358,30CrNiMo,0.33,0.24,0,0,0,0,0.54,0,0,1.22,0,0,0,0,0,0.17,0,0,0,340,613.15
359,30CrNi2Mo,0.3,0.24,0.46,0.03,0.025,0,1.44,0.2,0,2.06,0,0,0,0,0,0.37,0,0,0,350,623.15
361,30CrNi3Mo,0.3,0.3,0,0,0,0,0.86,0,0,3.2,0,0,0,0,0,0.4,0,0,0,320,593.15
362,30CrNi3Mo,0.32,0.28,0,0,0,0,0.63,0,0,3.22,0,0,0,0,0,0.22,0,0,0,310,583.15
363,30CrNi3Mo,0.33,0.21,0,0,0,0,0.76,0,0,2.92,0,0,0,0,0,0.18,0,0,0,310,583.15
364,34CrNi3Mo,0.36,0.27,0,0,0,0,0.91,0,0,2.8,0,0,0,0,0,0.24,0,0,0,290,563.15
367,35CrNiMo,0.34,0.22,0,0,0,0,0.92,0,0,1.82,0,0,0,0,0,0.25,0,0,0,340,613.15
368,40CrNiMo,0.36,0.33,0,0,0,0,0.95,0,0,1.82,0,0,0,0,0,0.24,0,0,0,320,593.15
369,40CrNiMo,0.38,0.2,0,0,0,0,0.95,0,0,1.58,0,0,0,0,0,0.26,0,0,0,320,593.15
370,40CrNiMoA,0.38,0.345,0.365,0.0163,0.008,0,1.71,0,0,1.31,0,0,0,0,0,0.232,0,0,0,332,605.15
371,40CrNiMo,0.38,0.26,0,0,0,0,0.98,0,0,1.63,0,0,0,0,0,0.22,0,0,0,320,593.15
372,40CrNiMo,0.39,0.23,0,0,0,0,1.11,0,0,1.44,0,0,0,0,0,0.18,0,0,0,320,593.15
373,40CrNiMo,0.4,0.3,0.7,0,0,0,0.48,0,0,0.53,0,0,0,0,0,0.2,0,0,0,350,623.15
374,40CrNiMo,0.42,0.24,0.78,0.018,0.027,0,0.8,0,0,1.79,0,0,0,0,0,0.33,0,0,0,290,563.15
375,40CrNiMo,0.42,0.24,0.77,0,0,0,0.81,0,0,1.76,0,0,0,0,0,0.21,0,0,0,325,598.15
376,40CrNi4Mo,0.4,0.2,0.35,0.01,0.015,0,1.27,0.16,0,4.03,0,0.04,0,0,0,0.24,0,0,0,270,543.15
378,45CrNiMo,0.44,0,0.9,0,0,0,0.54,0,0,0.45,0,0,0,0,0,0.22,0,0,0,297,570.15
379,35CrNiMo1V,0.35,0.34,0.68,0.014,0.002,0,1.03,0,0,1.15,0,0,0,0,0,1.07,0,0,0,295,568.15
380,30CrNi2MoV,0.3,0.28,0.37,0.022,0.006,0,0.69,0,0,2.16,0,0.21,0,0,0,0.23,0,0,0,340,613.15
381,35CrNi3MoV,0.32,0,0,0,0,0,1.37,0,0,3.02,0,0.18,0,0,0,0.48,0,0,0,320,593.15
382,35CrW,0.34,0.32,0,0,0,0,0.99,0,0,0.28,0.68,0,0,0,0,0,0,0,0,370,643.15
383,18Cr2Ni4W,0.16,0.19,1,1,1,1,1.51,0,0,4.3,0.86,0,0,0,0,0,0,0,0,310,583.15
385,50CrMn,0.48,0.25,0.86,0,0,0,0.98,0,0,0.18,0,0,0,0,0,0,0,0,0,300,573.15
386,55CrMn,0.53,0.22,1.12,0.03,0.008,0.015,0.99,0.22,0,0.12,0,0,0,0,0,0.02,0,0,0,280,553.15
388,50CrMnV,0.47,0.38,1.04,0,0,0,1.2,0,0,0,0,0.18,0,0,0,0,0,0,0,290,563.15
392,50CrMnV,0.48,0.35,1,0,0,0,0.9,0,0,0.05,0,0.11,0,0,0,0,0,0,0,285,558.15
393,50CrMnV,0.49,0.23,0.9,0,0,0,1.03,0,0,0.06,0,0.12,0,0,0,0,0,0,0,290,563.15
394,50CrMnV,0.5,0.26,0.91,0,0,0,1.07,0,0,0.06,0,0.12,0,0,0,0,0,0,0,295,568.15
395,50CrMnV,0.55,0.22,0.98,0,0,0,1.02,0,0,0,0,0.11,0,0,0,0,0,0,0,270,543.15
399,55Si,0.54,1.27,0.23,0.01,0.005,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,325,598.15
400,55Si2Mn,0.55,1.85,0.64,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
401,55Si2Mn,0.55,1.74,0.87,0,0,0,0.1,0,0,0.16,0,0,0,0,0,0,0,0,0,260,533.15
402,55Si2Mn,0.55,1.68,0.61,0,0,0,0.05,0,0,0.19,0,0,0,0,0,0,0,0,0,285,558.15
403,55Si2Mn,0.57,1.73,0.67,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
404,55Si2MnB,0.56,1.87,0.8,0,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,289,562.15
405,55SiMnCuR,0.55,0.95,1.065,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,245,518.15
406,55SiMnMoV,0.55,1.01,1.04,0.017,0.013,0,0.1,0.11,0,0.04,0,0.18,0,0,0,0.3,0,0,0,290,563.15
407,60SiMn,0.57,1.08,0.81,0,0,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,0,258,531.15
408,60Si2Mn,0.62,2.01,0.82,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
409,60Si2Mn,0.62,2.01,0.95,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
410,60Si2Mn,0.62,2.13,0.86,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
411,60Si2Mo,0.6,1.9,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0.3,0,0,0,260,533.15
412,60CrMnSiV,0.58,0.89,0.81,0,0,0,1.27,0,0,0,0,0.11,0,0,0,0,0,0,0,270,543.15
416,60CrMnSiV,0.64,0.69,0.78,0,0,0,1.18,0,0,0,0,0.12,0,0,0,0,0,0,0,240,513.15
417,65Mn,0.64,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
418,65Mn,0.65,0,1.32,0.022,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
419,70Si3Mn,0.68,2.67,0.67,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
420,70Si3Mn,0.68,2.73,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
421,GCr6,1.05,0.19,0.32,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,192,465.15
422,GCr9,1.01,0.3,0.5,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
423,GCr15,1,0.27,0.3,0,0,0,1.71,0,0,0.21,0,0,0,0,0,0.04,0,0,0,230,503.15
425,GCr15,1.02,0.33,0.36,0,0,0,1.41,0,0,0.2,0,0,0,0,0,0,0,0,0,240,513.15
427,GCr15,1.03,0.28,0.25,0.016,0.007,0,1.47,0.05,0,0.04,0,0,0,0,0,0.02,0,0,0,202,475.15
428,GCr15,1.04,0.26,0.33,0,0,0,1.53,0,0,0.31,0,0,0,0,0,0,0,0,0,245,518.15
