页数,图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Re,Ms/°C,Ms (K)
71,碳素结构钢,8,0.06,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
73,碳素结构钢,30,0.35,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,653.15
74,碳素结构钢,35,0.35,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
75,碳素结构钢,40,0.42,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,488.15
77,碳素结构钢,45,0.44,0.22,0.66,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
78,碳素结构钢,50,0.46,0.19,0.8,0,0,0,0.13,0,0,0.17,0,0,0,0,0,0,0,0,0,0,350,623.15
79,碳素结构钢,50,0.5,0.53,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
80,碳素结构钢,55,0.54,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
81,碳素结构钢,60,0.63,0.4,0.65,0,0,0,0.13,0.2,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
82,高锰碳结钢,30Mn,0.3,0.46,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
83,高锰碳结钢,40Mn,0.45,0.26,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,250,523.15
84,高锰碳结钢,50Mn,0.5,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
85,高锰碳结钢,60Mn,0.63,0.17,0.87,0.023,0.018,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,280,553.15
89,低合金钢,16Mn,0.19,0.53,1.38,0.013,0.022,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,410,683.15
90,低合金钢,VTi,0.655,0.785,1.025,0.0275,0.016,0,0,0,0,0,0,0.1435,0.0385,0,0,0,0,0,0,0,247.5,520.65
91,低合金钢,15MnTi,0.17,0.4,1.48,0.016,0.024,0,0,0,0,0,0,0,0.148,0,0,0,0,0,0,0,390,663.15
92,低合金钢,44Mn2Si,0.47,1.25,1.55,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,558.15
94,低合金钢,18MnMoNb,0.19,0.27,1.3,0.013,0.008,0,0.24,0,0,0.25,0,0,0,0,0,0.53,0,0,0.04,0,430,703.15
95,低合金钢,45MnSiV,0.47,1.3,1.25,0.04,0.04,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,295,568.15
96,低合金钢,65MnSiV,0.63,1.3,1.15,0.04,0.045,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,255,528.15
97,低合金钢,14MnVTiRe,0.14,0.48,1.52,0.011,0.004,0,0,0,0,0,0,0.071,0.12,0,0,0,0,0,0,0.016,400,673.15
98,低合金钢,55MnCuRe,0.55,0.95,1.075,0.04,0.04,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.125,240,513.15
101,合金结构钢,20Mn2,0.2,0.3,1.88,0.018,0.022,0,0.04,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,370,643.15
104,合金结构钢,30Mn2,0.33,0.23,1.54,0,0,0,0.15,0,0,0.18,0,0,0,0,0,0,0,0,0,0,345,618.15
105,合金结构钢,35Mn2,0.35,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.5,595.65
106,合金结构钢,40Mn2,0.4,0.4,2.06,0,0,0,0.11,0,0,0.05,0,0,0,0,0,0,0,0,0,0,320,593.15
107,合金结构钢,40Mn2,0.4,0.3,1.88,0.018,0.022,0,0.04,0,0,0.03,0,0,0,0,0,0.02,0,0,0,0,340,613.15
108,合金结构钢,42Mn2,0.42,0.21,1.8,0.013,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,533.15
109,合金结构钢,45Mn2,0.48,0.28,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
110,合金结构钢,50Mn2,0.51,0.04,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,598.15
111,合金结构钢,20Cr,0.2,0.3,0.72,0,0,0,0.79,0,0,0.27,0,0,0,0,0,0,0,0,0,0,382.5,655.65
112,合金结构钢,30Cr,0.32,0.3,0.76,0,0,0,1.08,0,0,0.26,0,0,0,0,0,0,0,0,0,0,350,623.15
113,合金结构钢,35Cr,0.36,0.25,0.49,0,0,0,1.51,0,0,0.21,0,0,0,0,0,0,0,0,0,0,345,618.15
114,合金结构钢,38CrA,0.38,0.27,0.65,0.02,0.02,0,0.95,0,0,0.35,0,0,0,0,0,0,0,0,0,0,250,523.15
115,合金结构钢,40Cr,0.42,0,0.68,0,0,0,0.93,0,0,0.07,0,0,0,0,0,0,0,0,0,0,342.5,615.65
116,合金结构钢,45Cr,0.44,0,0.74,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
117,合金结构钢,45Cr3,0.43,0.14,0.04,0,0,0.14,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
118,合金结构钢,30Ni,0.33,0.21,0.62,0,0,0,0,0,0,0.89,0,0,0,0,0,0.05,0,0,0,0,365,638.15
119,合金结构钢,40Ni,0.41,0.32,0.78,0.02,0.025,0,0.21,0,0,0.95,0,0,0,0,0,0.18,0,0,0,0,325,598.15
120,合金结构钢,40Ni,0.39,0.2,0.86,0,0,0,0.13,0,0,1.12,0,0,0,0,0,0,0,0,0,0,330,603.15
121,合金结构钢,50Ni,0.48,0,0.59,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,320,593.15
122,合金结构钢,55Ni,0.55,0.31,0.6,0.028,0.021,0,0.34,0,0,0.7,0,0,0,0,0,0.11,0,0,0,0,290,563.15
123,合金结构钢,10Ni2,0.08,0.16,0.29,0,0,0,0,0,0,2.06,0,0,0,0,0,0.02,0,0,0,0,425,698.15
124,合金结构钢,12Ni3,0.11,0.21,0.36,0,0,0,0,0,0,2.8,0,0,0,0,0,0.09,0,0,0,0,425,698.15
125,合金结构钢,12Ni3,0.95,0.25,0.4,0,0,0,0,0,0,2.95,0,0,0,0,0,0.08,0,0,0,0,120,393.15
126,合金结构钢,25Ni3,0.28,0.41,0.69,0,0,0,0.12,0,0,3.3,0,0,0,0,0,0.03,0,0,0,0,150,423.15
127,合金结构钢,30Ni3,0.3,0.32,0.51,0,0,0,0.07,0,0,3.03,0,0,0,0,0,0,0,0,0,0,340,613.15
128,合金结构钢,35Ni3,0.33,0.23,0.74,0,0,0,0.07,0,0,3.47,0,0,0,0,0,0,0,0,0,0,310,583.15
129,合金结构钢,40Ni3,0.4,0.31,0.89,0,0,0,0.11,0,0,3.34,0,0,0,0,0,0,0,0,0,0,280,553.15
130,合金结构钢,13Ni5,0.14,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,350,623.15
131,合金结构钢,40Ni5,0.43,0.24,0.43,0,0,0,0.04,0,0,5,0,0,0,0,0,0,0,0,0,0,260,533.15
132,合金结构钢,15Mo,0.123,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0.55,0,0,0,0,550,823.15
133,合金结构钢,20Mo,0.22,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,450,723.15
134,合金结构钢,35Mo,0.39,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,268,541.15
135,合金结构钢,40Mo,0.42,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,293,566.15
136,合金结构钢,40B,0.45,0.3,0.68,0.026,0.035,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0,250,523.15
137,合金结构钢,45B,0.48,0.3,0.68,0,0,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0,300,573.15
138,合金结构钢,50B,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,280,553.15
139,合金结构钢,60B,0.63,0.4,0.65,0,0,0,0.13,0.2,0,0,0,0,0,0.002,0,0,0,0,0,0,270,543.15
140,合金结构钢,27SiMn,0.29,1.3,1.33,0,0,0,0,0.1,0,0.12,0,0,0,0,0,0,0,0,0,0,352.5,625.65
141,合金结构钢,35SiMn,0.38,1.05,1.14,0.035,0.019,0,0.23,0,0,0,0,0.02,0,0,0,0,0,0,0,0,330,603.15
142,合金结构钢,45Mn2Si,0.45,1.34,1.5,0,0,0,0.03,0,0,0,0,0.04,0,0,0,0,0,0,0,0,290,563.15
143,合金结构钢,15CrMn,0.16,0.22,1.12,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,400,673.15
144,合金结构钢,20CrMn,0.23,0.37,1.13,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
145,合金结构钢,20CrMn,0.95,0.37,1.13,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,130,403.15
148,合金结构钢,40CrMn,0.41,0.27,0.9,0,0,0,1.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,350,623.15
149,合金结构钢,50CrMn,0.48,0.25,0.85,0,0,0,0.98,0,0,0.18,0,0,0,0,0,0,0,0,0,0,300,573.15
150,合金结构钢,35CrMn2,0.39,0.56,1.44,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5,569.65
151,合金结构钢,50CrMn2,0.48,0.59,1.3,0,0,0,0.54,0,0,0.06,0,0,0,0,0,0,0,0,0,0,290,563.15
152,合金结构钢,20MnMo,0.24,0.47,0.94,0,0,0,0.34,0,0,0,0,0,0,0,0,0.14,0,0,0,0,380,653.15
153,合金结构钢,45MnMo,0.43,0.23,0.9,0,0,0,0.27,0,0,0,0,0,0,0,0,0.26,0,0,0,0,320,593.15
154,合金结构钢,50MnMo,0.52,0.3,1.18,0,0,0,0.13,0,0,0,0,0,0,0,0,0.3,0,0,0,0,290,563.15
155,合金结构钢,30Mn2Mo,0.3,0.49,1.63,0,0,0,0.44,0,0,0,0,0,0,0,0,0.33,0,0,0,0,350,623.15
156,合金结构钢,35Mn2Mo,0.33,0.18,1.48,0,0,0,0.16,0,0,0,0,0,0,0,0,0.27,0,0,0,0,340,613.15
157,合金结构钢,40Mn2Mo,0.4,0.14,1.89,0.015,0.032,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,290,563.15
158,合金结构钢,38CrSi,0.36,1.19,0.45,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
159,合金结构钢,40CrSi,0.4,1.52,0.42,0,0,0,1.24,0,0,0,0,0.12,0,0,0,0,0,0,0,0,325,598.15
160,合金结构钢,18CrMo,0.18,0.21,0.62,0,0,0,0.81,0,0,0,0,0,0,0,0,0.27,0,0,0,0,380,653.15
161,合金结构钢,18CrMo,1.08,0.21,0.62,0,0,0,0.81,0,0,0,0,0,0,0,0,1.27,0,0,0,0,100,373.15
162,合金结构钢,20CrMo,0.18,0.31,0.79,0,0,0,0.56,0,0,0.52,0,0,0,0,0,0.19,0,0,0,0,250,523.15
163,合金结构钢,20CrMo,0.22,0.25,0.64,0,0,0,0.97,0,0,0,0,0,0,0,0,0.23,0,0,0,0,400,673.15
164,合金结构钢,25CrMo,0.25,0.22,0.62,0,0,0,1.05,0,0,0,0,0,0,0,0,0.24,0,0,0,0,365,638.15
165,合金结构钢,30CrMo,0.3,0.22,0.84,0,0,0,1.01,0,0,0,0,0,0,0,0,0.24,0,0,0,0,385,658.15
166,合金结构钢,30CrMo,0.33,0,0.53,0,0,0,0.9,0,0,0,0,0,0,0,0,0.18,0,0,0,0,345,618.15
167,合金结构钢,30CrMo,0.27,0.13,0.6,0,0,0,0.74,0,0,0,0,0,0,0,0,0.55,0,0,0,0,390,663.15
168,合金结构钢,35CrMo,0.35,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.25,0,0,0,0,330,603.15
169,合金结构钢,35CrMo,0.38,0.23,0.64,0,0,0,0.99,0,0,0,0,0,0,0,0,0.16,0,0,0,0,313,586.15
170,合金结构钢,40CrMo,0.41,0.28,0.58,0,0,0,1.39,0,0,0,0,0,0,0,0,0.74,0,0,0,0,320,593.15
171,合金结构钢,42CrMo,0.41,0.23,0.67,0,0,0,1.01,0,0,0,0,0,0,0,0,0.23,0,0,0,0,340,613.15
172,合金结构钢,45CrMo,0.44,0.22,0.6,0,0,0,1.19,0,0,0,0,0,0,0,0,0.37,0,0,0,0,320,593.15
173,合金结构钢,50CrMo,0.5,0.32,0.8,0,0,0,1.04,0,0,0,0,0,0,0,0,0.24,0,0,0,0,290,563.15
174,合金结构钢,55CrMo,0.55,0,0.6,0,0,0,1.03,0,0,0,0,0,0,0,0,0.19,0,0,0,0,275,548.15
175,合金结构钢,12Cr2Mo,0.15,0.44,0.36,0,0,0,2.24,0,0,0,0,0,0,0,0,0.85,0,0,0,0,380,653.15
176,合金结构钢,25Cr3Mo,0.26,0.21,0.55,0,0,0,3.34,0,0,0,0,0,0,0,0,0.54,0,0,0,0,360,633.15
177,合金结构钢,30CrAl,0.3,0.28,0.77,0,0,0.98,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
178,合金结构钢,20CrNi,0.2,0.15,0.71,0,0,0,0.8,0,0,1.13,0,0,0,0,0,0,0,0,0,0,410,683.15
179,合金结构钢,20CrNi,0.96,0.26,0.74,0,0,0,0.81,0,0,1.19,0,0,0,0,0,0,0,0,0,0,120,393.15
180,合金结构钢,40CrNi,0.38,0.21,0.72,0,0,0,0.5,0,0,1.3,0,0,0,0,0,0,0,0,0,0,220,493.15
181,合金结构钢,50CrNi,0.5,0.4,0.7,0,0,0,0.52,0,0,0.48,0,0,0,0,0,0,0,0,0,0,300,573.15
182,合金结构钢,12CrNi2,0.11,0.3,0.5,0,0,0,0.64,0,0,1.59,0,0,0,0,0,0,0,0,0,0,405,678.15
183,合金结构钢,15CrNi2,0.15,0.3,0.55,0,0,0,0.82,0,0,1.3,0,0,0,0,0,0,0,0,0,0,385,658.15
184,合金结构钢,20CrNi2,0.19,0.3,0.55,0,0,0,0.31,0,0,1.52,0,0,0,0,0,0,0,0,0,0,375,648.15
185,合金结构钢,12CrNi3,0.11,0.13,0.33,0,0,0,0.87,0,0,3.26,0,0,0,0,0,0,0,0,0,0,420,693.15
186,合金结构钢,12CrNi3,1,0.12,0.3,0,0,0,0.9,0,0,3.27,0,0,0,0,0,0,0,0,0,0,100,373.15
187,合金结构钢,20CrNi3A,0.17,0,0,0,0,0,0.9,0,0,3.33,0,0,0,0,0,0,0,0,0,0,330,603.15
189,合金结构钢,30CrNi3,0.29,0.06,0.21,0,0,0,1.45,0,0,3.25,0,0,0,0,0,0,0,0,0,0,230,503.15
190,合金结构钢,30CrNi3,0.32,0.2,0.3,0,0,0,0.69,0,0,2.95,0,0,0,0,0,0,0,0,0,0,320,593.15
191,合金结构钢,37CrNi3A,0.35,0,0,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,295,568.15
192,合金结构钢,37CrNi3A,0.39,0,0,0,0,0,1.49,0,0,2.9,0,0,0,0,0,0,0,0,0,0,290,563.15
195,合金结构钢,12Cr2Ni2,0.13,0.31,0.51,0,0,0,1.5,0,0,1.55,0,0,0,0,0,0,0,0,0,0,440,713.15
196,合金结构钢,15Cr2Ni2,0.16,0.31,0.5,0,0,0,1.95,0,0,2.02,0,0,0,0,0,0,0,0,0,0,450,723.15
197,合金结构钢,20Cr2Ni2,0.21,0.33,0.5,0,0,0,1.99,0,0,2.08,0,0,0,0,0,0,0,0,0,0,330,603.15
198,合金结构钢,20Cr2Ni2,0.9,0.33,0.5,0,0,0,1.99,0,0,2.08,0,0,0,0,0,0,0,0,0,0,110,383.15
202,合金结构钢,12Cr2Ni4A,0.15,0.2,0.45,0,0,0,1.54,0,0,4.03,0,0,0,0,0,0.03,0,0,0,0,380,653.15
203,合金结构钢,12Cr2Ni4A,0.89,0.19,0.39,0,0,0,1.58,0,0,4,0,0,0,0,0,0,0,0,0,0,185,458.15
204,合金结构钢,20Cr2Ni4A,0.2,0.27,0.45,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,325,598.15
205,合金结构钢,20Cr2Ni4A,0.9,0.27,0.45,0,0,0,1.5,0,0,3.5,0,0,0,0,0,0,0,0,0,0,120,393.15
206,合金结构钢,35Cr2Ni4,0.36,0.32,0.53,0,0,0,1.86,0,0,3.74,0,0,0,0,0,0,0,0,0,0,265,538.15
207,合金结构钢,40Cr2Ni4,0.42,0.41,0.6,0,0,0,1.25,0,0,4.4,0,0,0,0,0,0,0,0,0,0,240,513.15
208,合金结构钢,15NiMo,0.16,0.18,0.53,0,0,0,0,0,0,1.56,0,0,0,0,0,0.25,0,0,0,0,425,698.15
209,合金结构钢,15NiMo,0.17,0.26,0.57,0,0,0,0.13,0,0,1.73,0,0,0,0,0,0.2,0,0,0,0,330,603.15
210,合金结构钢,15NiMo,0.99,0.29,0.56,0,0,0,0,0,0,1.64,0,0,0,0,0,0.29,0,0,0,0,130,403.15
211,合金结构钢,30NiMo,0.32,0.31,0.74,0,0,0,0,0,0,1.7,0,0,0,0,0,0.23,0,0,0,0,340,613.15
212,合金结构钢,40NiMo,0.36,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0.2,0,0,0,0,340,613.15
219,合金结构钢,60MnB,0.63,0.17,0.87,0.023,0.018,0,0.04,0,0,0.02,0,0,0,0.0018,0,0,0,0,0,0,280,553.15
220,合金结构钢,20Mn2B,0.21,0.25,2.04,0.01,0.023,0,0.04,0,0,0.03,0,0,0,0.0015,0,0.02,0,0,0,0,370,643.15
221,合金结构钢,20Mn2B,0.21,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,390,663.15
222,合金结构钢,20Mn2B,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,175,448.15
223,合金结构钢,40Mn2B,0.4,0.25,2.04,0.01,0.023,0,0.04,0,0,0.03,0,0,0,0.0015,0,0.02,0,0,0,0,347,620.15
224,合金结构钢,35Mn2V,0.35,0.28,1.65,0,0,0,0.27,0,0,0.15,0,0,0,0,0,0,0,0,0,0,320,593.15
225,合金结构钢,42Mn2V,0.43,0.28,1.67,0.027,0.008,0,0.32,0.06,0,0.11,0,0.1,0,0,0,0,0,0,0,0,310,583.15
