页数,图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Re,Ms/°C,Ms (K)
377,弹簧钢,60Mn,0.63,0,0.87,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
378,弹簧钢,65Mn,0.64,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,535.15
379,弹簧钢,60Si,0.57,1.08,0.81,0,0,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,0,0,285,558.15
380,弹簧钢,40Si2,0.42,1.78,0.62,0,0,0,0.05,0,0,0.18,0,0,0,0,0,0,0,0,0,0,330,603.15
382,弹簧钢,70Si2,0.73,1.62,0.73,0,0,0,0.1,0,0,0.12,0,0,0,0,0,0,0,0,0,0,215,488.15
383,弹簧钢,55SiMn,0.55,1.85,0.64,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
384,弹簧钢,55Si2Mn,0.55,1.68,0.61,0.04,0.045,0,0.05,0,0,0.17,0,0,0,0,0,0,0,0,0,0,282.5,555.65
385,弹簧钢,60Si2Mn,0.57,1.73,0.67,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
386,弹簧钢,60Si2Mn,0.59,1.61,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,528.15
387,弹簧钢,60Si2Mo,0.6,1.9,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0.3,0,0,0,0,260,533.15
388,弹簧钢,70Si3Mn,0.68,2.73,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,558.15
389,弹簧钢,50CrMn,0.48,0.25,0.86,0,0,0,0.98,0,0,0.18,0,0,0,0,0,0,0,0,0,0,275,548.15
390,弹簧钢,50CrVA,0.47,0.35,0.82,0,0,0,1.2,0,0,0,0,0.11,0,0,0,0,0,0,0,0,285,558.15
391,弹簧钢,75CrMo,0.74,0.25,0.34,0,0,0,1.43,0,0,0,0,0,0,0,0,0.23,0,0,0,0,220,493.15
392,弹簧钢,55Si2MnB,0.56,1.87,0.8,0,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,0,289,562.15
393,弹簧钢,50CrMnV,0.47,0.38,1.04,0,0,0,1.2,0,0,0,0,0.18,0,,0,0,0,0,0,0,290,563.15
394,弹簧钢,55CrMnVA,0.55,0.22,0.98,0,0,0,1.02,0,0,0,0,0.11,0,0,0,0,0,0,0,0,275,548.15
396,弹簧钢,50CrMnSiMo,0.5,1.48,1.05,0,0,0,1.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,275,548.15
397,弹簧钢,60CrMnSiV,0.58,0.89,0.81,0,0,0,1.27,0,0,0,0,0.11,0,0,0,0,0,0,0,0,255,528.15
398,弹簧钢,65CrMnSiV,0.64,0.69,0.78,0,0,0,1.18,0,0,0,0,0.12,0,0,0,0,0,0,0,0,240,513.15
399,弹簧钢,55SiMnMoV,0.55,1.01,1.04,0.017,0.013,0,0.1,0,0,0.04,0,0.18,0,0,0,0.3,0,0,0,0,280,553.15
400,弹簧钢,55SiMnMoVNb,0.585,0.4,1.11,0.016,0.03,0,0,0,0,0,0,0.16,0,0,0,0.32,0,0,0.02,0,292,565.15
403,轴承钢,GCr9,1.01,0.3,0.5,0.025,0.02,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
404,轴承钢,GCr15,1.02,0.33,0.36,0.025,0.02,0,1.41,0,0,0.2,0,0,0,0,0,0,0,0,0,0,200,473.15
405,轴承钢,GCr15,1.02,0.33,0.36,0,0,0,1.41,0,0,0.2,0,0,0,0,0,0,0,0,0,0,125,398.15
406,轴承钢,GCr15,1.04,0.26,0.33,0,0,0,1.53,0,0,0.31,0,0,0,0,0,0.008,0,0,0,0,245,518.15
407,轴承钢,GCr15SiMn,0.93,0.55,1.1,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
408,轴承钢,GSiMnV,1.01,0.68,1.21,0.018,0.008,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,100,373.15
409,轴承钢,55SiMoVA,0.55,0.94,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0.49,0,0,0,0,270,543.15
410,轴承钢,Cr4Mo4V,0.8,0.2,0.23,0,0,0,4.07,0,0,0,0,0.99,0,0,0,4.4,0,0,0,0,130,403.15
411,轴承钢,GSiMnVRe,1.02,0.67,1.29,0.01,0.01,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.012,125,398.15
413,轴承钢,GMnMoVRe,1,0.24,1.3,0.012,0.004,0,0.03,0,0,0,0,0.19,0,0,0,0.48,0,0,0,0.0048,112.5,385.65
417,工模具钢,T7,0.66,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,553.15
418,工模具钢,T8,0.78,0.16,0.36,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,508.15
419,工模具钢,T8,0.76,0.22,0.29,0,0,0,0.11,0,0,0.07,0,0,0,0,0,0,0,0,0,0,245,518.15
420,工模具钢,T9,0.89,0.15,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,498.15
421,工模具钢,T10,0.95,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,483.15
422,工模具钢,T11,1.1,0.5,0.3,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,180,453.15
423,工模具钢,T12,1.17,0.18,0.36,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
424,工模具钢,T13,1.29,0.27,0.2,0,0,0,0.04,0,0,0.09,0,0,0,0,0,0,0,0,0,0,190,463.15
426,工模具钢,T14,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,398.15
427,工模具钢,T16,1.6,0.27,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,363.15
428,工模具钢,V,1,0.25,0.2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,200,473.15
429,工模具钢,Cr2,1.025,0.32,0.36,0.025,0.025,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,240,513.15
430,工模具钢,Cr3,1,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,373.15
431,工模具钢,Cr12,2.02,0,0.39,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0,180,453.15
433,工模具钢,Mn13,1.28,0.35,12.4,0,0,0,0,0.23,0,0.28,0,0,0,0,0,0,0,0,0,0,-200,73.15
434,工模具钢,1Mo3,0.1,0.26,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0,0,400,673.15
436,工模具钢,5Cr3,0.43,0,0.32,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
437,工模具钢,7Cr3,0.68,0.5,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,220,493.15
438,工模具钢,8Cr,0.88,0.24,0.41,0,0,0,0.78,1,1,0.1,0,0,0,0,0,0,0,0,0,0,230,503.15
439,工模具钢,9Cr2,0.95,0.35,0.31,0.025,0.024,0,1.56,0,0,0.25,0,0,0,0,0,0,0,0,0,0,270,543.15
440,工模具钢,9Cr2,0.89,0.32,0.3,0,0,0,2,0,0,0.13,0,0,0,0,0,0,0,0,0,0,270,543.15
441,工模具钢,MnSi,0.97,0.96,0.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,513.15
442,工模具钢,Cr12V,1.3,0.36,0.32,0,0,0,11.75,0,0,0,0,0.8,0,0,0,0,0,0,0,0,200,473.15
443,工模具钢,Cr12Mo,1.075,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,0.5,0,0,0,0,225,498.15
444,工模具钢,CrW3,0.82,0,0,0,0,0,1.39,0,0,0,3.23,0,0,0,0,0,0,0,0,0,205,478.15
446,工模具钢,2Mo3Ni3,0.22,0.3,0.5,0,0,0,0,0,0,2.89,0,0,0,0,0,2.95,0,0,0,0,330,603.15
447,工模具钢,3Cr2W8,0.34,0.31,0.38,0,0,0,2.86,0,0,0,8.12,0.17,0,0,0,0,0,0,0,0,325,598.15
448,工模具钢,4Cr2W8,0.38,0.27,0.29,0,0,0,2.2,0,0,0,7.93,0.4,0,0,0,0,0,0,0,0,345,618.15
449,工模具钢,4Cr2W12,0.4,0.3,0.3,0,0,0,2,0,0,0,11.5,0.35,0,0,0,0,0,0,0,0,370,643.15
450,工模具钢,8CrV,0.83,0.26,0.4,0,0,0,0.63,0,0,0.25,0,0.17,0,0,0,0,0,0,0,0,215,488.15
451,工模具钢,9CrV,0.86,0.34,0.36,0,0,0,1.62,0,0,0.58,0,0.17,0,0,0,0,0,0,0,0,215,488.15
452,工模具钢,9Cr2W,0.87,0.33,0.26,0,0,0,2.02,0,0,0.13,0.36,0,0,0,0,0,0,0,0,0,215,488.15
453,工模具钢,9Mn2V,0.98,0.26,1.68,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,125,398.15
454,工模具钢,9SiCr,0.9,1.4,0.45,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,213.15
455,工模具钢,Cr12MoV,1.55,0.45,0.27,0,0,0,11.34,0,0,0,0,0.24,0,0,0,0.53,0,0,0,0,227.5,500.65
456,工模具钢,Cr12MoV,1.56,0,0,0,0,0,12.46,0,0,0.26,0.28,0.65,0,0,0,0.54,0,0,0,0,185,458.15
457,工模具钢,Cr12MoV,1.78,0,0,0,0,0,11.7,0,0,0.35,0.63,0.09,0,0,0,0.61,0,0,0,0,255,528.15
458,工模具钢,CrWMn,0.85,0,1.18,0,0,0,0.5,0,0,0,0.44,0,0,0,0,0,0,0,0,0,220,493.15
459,工模具钢,CrWMn,1.03,0.28,0.97,0,0,0,1.05,0,0,0.13,1.15,0,0,0,0,0,0,0,0,0,155,428.15
460,工模具钢,CrMnV,1.42,0.37,0.61,0,0,0,1.37,0,0,0,0,0.18,0,0,0,0,0,0,0,0,220,493.15
461,工模具钢,Cr5MoV,0.99,0.32,0.82,0,0,0,4.78,0,0,0,0,0.23,0,0,0,1.04,0,0,0,0,180,453.15
462,工模具钢,Cr6WV,1.075,0,0,0,0,0,6.25,0,0,0,1.3,0.6,0,0,0,0,0,0,0,0,185,458.15
463,工模具钢,W9Cr4V2,0.9,0.4,0.4,0.03,0.03,0,4.1,0,0,0,9.25,2.3,0,0,0,0.3,0,0,0,0,210,483.15
464,工模具钢,W9Cr4V2,0.9,0.4,0.4,0.03,0.03,0,4.1,0,0,0,0.75,2.3,0,0,0,0.3,0,0,0,0,400,673.15
465,工模具钢,W14Cr4V4,1.23,0,0,0,0,0,4.02,0,0,0,12.51,3.6,0,0,0,0,0,0,0,0,200,473.15
466,工模具钢,W18Cr4V,0.73,0.33,0,0.03,0.03,0,4.39,0,0,0,17.8,1.09,0,0,0,0.18,0,0,0,0,205,478.15
467,工模具钢,W18Cr4V,0.72,0.39,0.27,0,0,0,4.09,0,0,0,18.59,1.25,0,0,0,0,0,0,0,0,190,463.15
468,工模具钢,3Cr2W4V,0.28,0.16,0.39,0,0,0,2.35,0,0,0,4.1,0.53,0,0,0,0,0,0,0,0,310,583.15
469,工模具钢,3Cr2W8V,0.3,0,0,0,0,0,2.3,0,0,0,8.78,0.34,0,0,0,0,0,0,0,0,350,623.15
470,工模具钢,4CrNi4Mo,0.4,0.2,0.36,0,0,0,1.27,0,0,4.03,0,0,0,0,0,0.24,0,0,0,0,270,543.15
471,工模具钢,4Cr2Ni4W,0.46,0.24,0.5,0,0,0,1.53,0,0,3.96,0.59,0,0,0,0,0,0,0,0,0,235,508.15
472,工模具钢,4Cr2W3V,0.4,0,0,0,0,0,2.85,0,0,0.12,3.39,0.26,0,0,0,0.16,0,0,0,0,330,603.15
473,工模具钢,4CrW2Si,0.4,0.72,0.27,0,0,0,1.2,0,0,0.17,1.85,0,0,0,0,0,0,0,0,0,315,588.15
474,工模具钢,4CrMoV,0.38,0.18,0.81,0,0,0,1.54,0,0,0,0,0.27,0,0,0,0.63,0,0,0,0,350,623.15
475,工模具钢,5CrMnMo,0.59,0.41,1.42,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0.16,0,0,0,0,222.5,495.65
476,工模具钢,5CrNiMo,0.55,0.3,0.77,0,0,0,0.87,0,0,1.18,0,0,0,0,0,0.23,0,0,0,0,215,488.15
478,工模具钢,5CrNiW,0.56,0.23,0.59,0,0,0,0.6,0,0,1.6,0.78,0,0,0,0,0,0,0,0,0,260,533.15
479,工模具钢,5CrNi3Mo,0.53,0.27,0.3,0,0,0,1.04,0,0,3.3,0,0,0,0,0,0.16,0,0,0,0,240,513.15
480,工模具钢,5CrW2V,0.45,0.2,0.34,0,0,0,1.25,0,0,0,2.2,0.36,0,0,0,0,0,0,0,0,300,573.15
481,工模具钢,5CrW2Si,0.52,0.8,0.33,0,0,0,1.17,0,0,0.16,2.25,0,0,0,0,0,0,0,0,0,295,568.15
482,工模具钢,6CrNiMo,0.64,0.28,0.93,0,0,0,1.01,0,0,1.64,0,0,0,0,0,0.24,0,0,0,0,230,503.15
483,工模具钢,6CrNiW,0.59,0.38,0.45,0,0,0,1.28,0,0,1.1,0.5,0,0,0,0,0,0,0,0,0,205,478.15
484,工模具钢,6CrW2Si,0.58,0.55,0.32,0,0,0,1.27,0,0,0.23,2.25,0,0,0,0,0,0,0,0,0,270,543.15
485,工模具钢,6Cr2Ni3Mo,0.6,0.24,0.37,0,0,0,2.14,0,0,3.22,0,0,0,0,0,0.07,0,0,0,0,190,463.15
486,工模具钢,9CrWMn,0.86,0.26,1.18,0,0,0,0.5,0,0,0,0.44,0,0,0,0,0,0,0,0,0,205,478.15
487,工模具钢,9Cr2MoV,0.85,0.35,0.29,0,0,0,2,0,0,0,0,0.21,0,0,0,0.26,0,0,0,0,230,503.15
488,工模具钢,Cr4W2MoV,1.18,0.6,0.28,0.019,0.009,0,3.81,0,0,0,2.32,0.94,0,0,0,1.1,0,0,0,0,142,415.15
489,工模具钢,Cr4W2MoV,1.18,0.68,0.26,0.024,0.01,0,3.75,0,0,0,2.22,0.91,0,0,0,0.99,0,0,0,0,100,373.15
490,工模具钢,Cr4Mo2W3V2,0.97,0,0,0,0,0,4.11,0,0,0.25,0.23,2.51,0,0,0,2.61,0,0,0,0,150,423.15
491,工模具钢,Cr4Mo5W6V2,0.85,0,0,0,0,0,4.15,0,0,0.18,6.34,2.01,0,0,0,4.79,0,0,0,0,140,413.15
493,工模具钢,W10Cr4V5Co5,1.49,0,0,0,0,0,4.05,0,0,0,10.62,4.44,0,0,4.9,0,0,0,0,0,170,443.15
494,工模具钢,W12Cr4MoV,0.87,0,0,0,0,0,3.99,0,0,0.11,11.91,2.52,0,0,0,0.8,0,0,0,0,210,483.15
495,工模具钢,W14V2SiMn,0.89,0.71,0.71,0.003,0.007,0,0,0,0,0,14.17,1.73,0,0,0,0,0,0,0,0,237,510.15
496,工模具钢,W18Cr4VCo5,0.8,0,0,0,0,0,4.34,0,0,0,17.89,1.52,0,0,4.52,0.78,0,0,0,0,180,453.15
497,工模具钢,W18Cr4V2Co5,0.9,0,0,0,0,0,4.5,0,0,0,18,2,0,0,5,1,0,0,0,0,215,488.15
498,工模具钢,3Cr2W8SiV,0.28,0.96,0,0,0,0,2.8,0,0,0.54,8.77,0.24,0,0,0,0,0,0,0,0,390,663.15
499,工模具钢,4CrNi4Si2Mo,0.38,1.94,0.51,0,0,0,0.83,0,0,3.48,0,0,0,0,0,0.7,0,0,0,0,260,533.15
500,工模具钢,4Cr5MoWSi,0.32,0.95,0.35,0,0,0,4.86,0,0,0,1.29,0,0,0,0,1.45,0,0,0,0,270,543.15
501,工模具钢,4Cr5MoVSi,0.39,0.94,0.48,0,0,0,5.53,0,0,0,0,0.48,0,0,0,0.87,0,0,0,0,290,563.15
503,工模具钢,4CrMoWV,0.39,0,0,0,0,0,1.45,0,0,0.13,0.55,0.7,0,0,0,0.47,0,0,0,0,360,633.15
504,工模具钢,5CrNiMoV,0.52,0.29,0,0,0,0,1.09,0,0,1.72,0,0.14,0,0,0,0.43,0,0,0,0,250,523.15
505,工模具钢,5CrNiWSi,0.55,0.75,0.45,0,0,0,1.45,0,0,1,0.5,0,0,0,0,0,0,0,0,0,180,453.15
506,工模具钢,5CrNiWSi,0.57,0.9,0.46,0,0,0,1.34,0,0,1.16,0.47,0,0,0,0,0,0,0,0,0,250,523.15
507,工模具钢,5CrW2SiV,0.43,0.57,0,0,0,0,1.2,0,0,0.14,2.34,0.13,0,0,0,0,0,0,0,0,290,563.15
508,工模具钢,6W6Mo5Cr4V,0.59,0.16,0.15,0.018,0.009,0,4.03,0,0,0,6.26,0.94,0,0,0,5.1,0,0,0,0,240,513.15
509,工模具钢,9CrWMnV,0.93,0.23,1.17,0,0,0,0.54,0,0,0,0.77,0.14,0,0,0,0,0,0,0,0,205,478.15
510,工模具钢,120Cr4W2MoV,1.18,0.6,0.28,0.019,0.009,0,3.81,0,0,0,2.32,0.94,0,0,0,1.1,0,0,0,0,142,415.15
513,工模具钢,Cr4MoW6V2Co,0.81,0,0,0,0,0,4.11,0,0,0,5.46,1.51,0,0,5.22,4.27,0,0,0,0,180,453.15
514,工模具钢,SiMnWVNb,0.92,0.61,1.15,0.02,0.02,0,0,0,0,0,0.89,0.34,0,0,0,0,0,0,0.09,0,130,403.15
515,工模具钢,4CrWSiMoV,0.39,0.58,0,0,0,0,1.43,0,0,0,0.85,0.84,0,0,0,0.5,0,0,0,0,330,603.15
516,工模具钢,5CrWSiMoV,0.47,0.73,0,0,0,0,1.2,0,0,0,0.45,1,0,0,0,0.39,0,0,0,0,360,633.15
518,工模具钢,CrMn2SiWMoV,1,0.55,2.25,0,0,0,1.15,0,0,0,0.9,0.3,0,0,0,0.95,0,0,0,0,120,393.15
519,工模具钢,SiCr4W6V5Mo5Nb,1.56,1.22,0.28,0,0,0.4,4.29,0,0,0,6.21,4.98,0,0,0,5.59,0,0,0.31,0,160,433.15
523,不锈耐酸钢,Cr17,0.09,0.33,0.4,0,0,0,17.2,0,0.03,0.34,0,0,0,0,0,0,0,0,0,0,160,433.15
524,不锈耐酸钢,Cr20,0.17,0.56,0.46,0,0,0,20.96,0,0.12,0.35,0,0,0,0,0,0,0,0,0,0,150,423.15
526,不锈耐酸钢,0Cr13,0.06,0.3,0.21,0,0,0,12.3,0,0,0.09,0,0,0,0,0,0,0,0,0,0,365,638.15
527,不锈耐酸钢,1Cr13,0.1,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
528,不锈耐酸钢,2Cr13,0.2,0,0,0,0,0,12.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,-80,193.15
529,不锈耐酸钢,3Cr13,0.25,0.37,0.29,0,0,0,13.4,0,0,0.13,0,0,0,0,0,0,0,0,0,0,240,513.15
530,不锈耐酸钢,4Cr13,0.44,0.3,0.2,0,0,0,13.12,0,0,0.31,0,0,0,0,0,0,0,0,0,0,270,543.15
