图号,钢号,C,Si,Mn,S,P,Nb,V,Ti,Al,N,Ni,W,Cu,Cr,B,Co,Mo,O,Sn,Re,Ms/°C,Ms (K)
1,06MnVTi,0.05,0.25,1.64,0.016,0.017,0,0.09,0.02,0.075,0,0,0,0,0,0,0,0,0,0,0,350,623.15
2,06TiA,0.06,0.05,0.3,0.02,0.007,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,430,703.15
3,06NbTi,0.07,0.25,0.46,0.008,0.007,0.011,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
4,08Ti,0.07,0.02,0.28,0.009,0.02,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
5,08CuPVRe,0.1,0.32,0.6,0.007,0.105,0,0.06,0,0,0,0,0,0.28,0,0,0,0,0,0,0.009,400,673.15
6,08MnTiNb,0.08,0.29,0.96,0.008,0.013,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,475,748.15
7,08Si2,0.052,2.08,0.23,0.0157,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
8,08Mn2Si,0.08,0.99,2.2,0.009,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,719.15
9,09Mn2Si,0.09,0.74,1.62,0.0082,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,718.15
10,09Mn2Si,0.097,0.72,1.825,0.0186,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,718.15
11,09MnVTiN,0.07,0.37,1.09,0.009,0.015,0,0.08,0.015,0,0.0095,0,0,0,0,0,0,0,0,0,0,475,748.15
12,09MnTiNb,0.11,0.32,1.4,0.009,0.006,0.022,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,470,743.15
13,1.5Ni,0.08,0.29,1.3,0.005,0.017,0.037,0,0.01,0,0,1.37,0,0,0,0,0,0,0,0,0,470,743.15
16,10Ti,0.1,0.16,0.4,0.011,0.08,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,485,758.15
17,10MnVTi,0.0114,0.28,1.585,0.0073,0.023,0,0.033,0.038,0,0,0,0,0,0,0,0,0,0,0,0,440,713.15
18,10MnCuPTi,0.07,0.33,0.72,0.027,0.92,0,0,0.1,0,0,0,0,0.28,0,0,0,0,0,0,0,475,748.15
19,10CrNiCuP,0.08,0.22,0.44,0.006,0.096,0,0,0,0,0,0.42,0,0.37,0.41,0,0,0,0,0,0,410,683.15
20,10MnMoNbVCu,0.1,0.29,1.51,0.009,0.022,0.061,0.045,0,0,0,0,0,0.19,0,0,0,0.28,0,0,0,415,688.15
21,12MnVTiN,0.12,0.41,1.41,0.018,0.012,0,0.1,0.033,0,0.0074,0,0,0,0,0,0,0,0,0,0,410,683.15
22,12SiMoVNb,0.13,0.82,0.615,0.027,0.019,0.052,0.48,0,0,0,0,0,0,0,0,0,1.03,0,0,0,410,683.15
23,12CrNiMnMoV,0.12,0.28,1.21,0.011,0.016,0,0.07,0,0,0,0.37,0,0,0.26,0,0,0.125,0,0,0,475,748.15
24,12CrNiMnMoVCu,0.12,0.23,0.91,0.005,0.028,0,0.061,0,0,0,0.69,0,0.03,0.49,0,0,0.4,0,0,0,420,693.15
25,12CrNiMnMoV,0.12,0.31,0.94,0.004,0.018,0,0.07,0,0,0,1.34,0,0.34,0.69,0,0,0.51,0,0,0,435,708.15
26,14MnMoV,0.15,0.38,1.41,0.023,0.016,0,0.08,0,0,0,0,0,0,0,0,0,0.45,0,0,0,415,688.15
27,14MnMoVN,0.16,0.35,1.49,0.018,0.015,0,0.16,0,0,0.017,0,0,0,0,0,0,0.45,0,0,0,415,688.15
28,15Mo,0.18,0.3,0.72,0.012,0.014,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,465,738.15
29,15Ti,0.16,0.48,0.61,0.026,0.013,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,370,643.15
30,15MnMoVN,0.15,0.39,1.49,0.015,0.018,0,0.16,0,0,0.014,0,0,0,0,0,0,0.5,0,0,0,405,678.15
31,15MnNbVCu,0.16,0.28,1.16,0.004,0.01,0.031,0.04,0,0,0,0,0,0.24,0,0,0,0,0,0,0,403,676.15
32,15MnCrVCu,0.16,0.22,1.05,0.04,0.028,0,0.054,0,0,0,0,0,0.3,0.56,0,0,0,0,0,0,435,708.15
33,15CrNiMnMoV,0.14,0.32,1.27,0.023,0.006,0,0.039,0,0,0,0.435,0,0,0.28,0,0,0.22,0,0,0,460,733.15
34,15CrNiMnMoVCuB,0.15,0.31,0.98,0.005,0.018,0,0.08,0,0,0,1.05,0,0.62,0.35,0.0018,0,0.51,0,0,0,410,683.15
35,15CrNiMnMoCuB,0.14,0.32,0.92,0.006,0.018,0,0,0,0,0,0.86,0,0.34,0.61,0.0009,0,0.52,0,0,0,425,698.15
36,15CrMnMoVB,0.18,0.34,0.9,0.01,0.02,0,0.05,0.01,0,0,0,0,0,0.57,0.0015,0,0.23,0,0,0,425,698.15
37,15CrMnMoVCuB,0.13,0.3,1.09,0.012,0.018,0,0.05,0,0,0,0,0,0.29,0.94,0.002,0,0.47,0,0,0,460,733.15
38,15CrMnMoNbVB,0.14,0.32,1.34,0.016,0.025,0.061,0.118,0,0,0,0,0,0,0.995,0.002,0,0.47,0,0,0,455,728.15
39,16Mn,0.14,0.34,1.37,0.015,0.019,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,438,711.15
40,16Mn,0.14,0.3,1.1,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,743.15
41,16MnRe,0.16,0.48,1.48,0.06,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,430,703.15
42,18Ti,0.19,0.25,0.86,0.025,0.011,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,430,703.15
43,18MnMoNb,0.18,0.28,1.44,0.019,0.007,0.027,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,415,688.15
44,18CrNiMnMoV,0.18,0.275,0.925,0.005,0.008,0,0.1,0,0.04,0,1.1,0,0,0.85,0,0,0.4,0,0,0,390,663.15
45,20,0.215,0.0185,0.44,0.0085,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,733.15
46,20,0.16,0.22,0.55,0.021,0.0125,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,460,733.15
47,20Mn,0.18,0.31,1.18,0.017,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,708.15
48,20Mn,0.17,0.29,0.82,0.016,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,713.15
49,20Mn,0.19,0.05,0.87,0.006,0.017,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,440,713.15
50,20MnTi,0.2,0.31,1.3,0.03,0.0145,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,408,681.15
51,20Mn2TiB,0.2,0.32,1.63,0.005,0.014,0,0,0.085,0,0,0.12,0,0,0.15,0.0027,0,0,0,0,0,410,683.15
52,20CrMnMoVB,0.19,0.44,1.43,0.009,0.014,0,0.11,0,0,0.0047,0.01,0,0,0.83,0.002,0,0.48,0,0,0,350,623.15
53,30MoVNb,0.3,0.29,0.92,0.016,0.028,0.05,0.15,0,0,0,0,0,0,0,0,0,0.68,0,0,0,390,663.15
54,30CrMo,0.29,0.24,0.49,0.012,0.023,0,0,0,0,0,0,0,0,0.84,0,0,0.17,0,0,0,425,698.15
55,30CrMnMoRe,0.28,0.44,1.37,0,0.009,0,0,0,0,0,0,0,0,1.04,0,0,0.66,0,0,0.016,305,578.15
56,32MnSiB,0.32,0.46,0.88,0.015,0.033,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,360,633.15
57,38MnB,0.4,0.34,1.44,0.016,0.023,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,375,648.15
58,38MnVTi,0.35,0.31,1.2,0.034,0.022,0,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,325,598.15
59,40SiMnTi,0.4,1.09,0.98,0.025,0.016,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,365,638.15
60,40Mn2Nb,0.4,0.24,1.55,0.026,0.016,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,583.15
61,40Mn2Mo,0.44,0.335,1.67,0.035,0.015,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,300,573.15
62,40Si2MnMoV,0.42,1.43,0.92,0.023,0.019,0,0.15,0,0,0,0,0,0,0,0,0,0.19,0,0,0,380,653.15
63,40CrNiMoA,0.38,0.24,0.69,0.007,0.02,0,0,0,0,0,1.44,0,0.1,0.76,0,0,0.19,0,0,0,320,593.15
64,43SiMnCrNiMoVRe,0.42,1.57,1.29,0.007,0.014,0,0.2,0,0,0,0.56,0,0,1.18,0,0,0.46,0,0,0.01,290,563.15
65,45,0.442,0.246,0.788,0.0183,0.0163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
66,45CrMoRe,0.44,0.33,0.78,0.021,0.021,0,0,0,0,0,0,0,0,1.03,0,0,0.192,0,0,0.0095,328,601.15
67,56Nb,0.53,0.26,0.65,0.033,0.034,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
68,58SiMn,0.64,1.5,1.27,0.0155,0.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
69,60,0.58,0.26,0.71,0.034,0.024,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0,280,553.15
70,70Ti,0.7,0.25,0.7,0.032,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,230,503.15
71,75MnNb,0.75,0.27,0.75,0.03,0.03,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,493.15
72,95MnNb,0.96,0.3,0.65,0.012,0.013,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,456.15
73,2Cr12NiMoV,0.175,0.275,0.65,0.02,0.025,0,0.225,0,0,0,0.5,0,0,11.5,0,0,0.9,0,0,0,240,513.15
74,4SiMnMoV,0.44,0.96,1.62,0.015,0.018,0,0.3,0,0,0,0.02,0,0,0.06,0,0,0.49,0,0,0,285,558.15
75,4SiMnMoV,0.44,0.96,1.62,0.015,0.018,0,0.3,0,0,0,0.02,0,0,0.06,0,0,0.49,0,0,0,285,558.15
76,4Cr3Mo2V,0.38,0.39,0.73,0.015,0.023,0,1.16,0,0,0,0.007,0,0.13,2.46,0,0,2,0,0,0,340,613.15
77,9Cr3Mo,0.88,0.64,0.83,0.09,0.07,0,0,0,0,0,0.06,0,0.11,2.96,0,0,0.29,0,0,0,185,458.15
78,12Cr1MoV,0.12,0.25,0.57,0.005,0.014,0,0.23,0,0,0,0,0,0,1,0,0,0.28,0,0,0,440,713.15
79,白口合金铁,3.3,1.3,0.6,0.045,0.06,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,90,363.15
80,10MnVNbCrNiCu,0.1,0.2,1.08,0.006,0.005,0.026,0.04,0,0,0,0.35,0,0.28,0.23,0,0,0,0,0,0,403,676.15
81,14MnMoNb,0.13,0.36,1.34,0.019,0.011,0.033,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,415,688.15
82,45CrNiMoVA,0.46,0.27,0.63,0.006,0.017,0,0.16,0,0,0,1.57,0,0,0.94,0,0,0.25,0,0,0,280,553.15
83,06MnVTi,0.05,0.25,1.64,0.016,0.017,0,0.09,0.02,0.075,0,0,0,0,0,0,0,0,0,0,0,475,748.15
84,1.5Ni,0.08,0.29,1.3,0.005,0.017,0.037,0,0.01,0,0,1.37,0,0,0,0,0,0,0,0,0,470,743.15
85,10,0.12,0.2,0.65,0.032,0.032,0,0,0,0.055,0,0.15,0,0.16,0.2,0,0,0.14,0,0,0,450,723.15
86,12CrNiMnMoVCu,0.12,0.23,0.91,0.005,0.028,0,0.061,0,0,0,0.69,0,0.03,0.49,0,0,0.4,0,0,0,420,693.15
87,12CrNiMnMoVCu,0.11,0.22,0.85,0.005,0.015,0,0.06,0,0,0,1.21,0,0.35,0.62,0,0,0.5,0,0,0,435,708.15
89,15Ti,0.16,0.48,0.61,0.026,0.013,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,390,663.15
90,15CrMnMoVN,0.15,0.39,1.49,0.015,0.018,0,0.16,0,0,0.014,0,0,0,0,0,0,0.5,0,0,0,405,678.15
91,15MnNiVNb,0.16,0.19,1.58,0.003,0.012,0.0315,0.07,0,0,0,0.81,0,0,0,0,0,0,0,0,0,410,683.15
92,15MnVAl,0.13,0.45,0.49,0.011,0.016,0,0.09,0,0.39,0,0,0,0,0,0,0,0.48,0,0,0,400,673.15
93,15MnVN,0.14,0.36,1.64,0.024,0.026,0,0.19,0,0,0.019,0,0,0,0,0,0,0,0,0,0,425,698.15
94,15CrNiMnMoV,0.14,0.32,1.27,0.023,0.006,0,0.039,0,0,0,0.435,0,0,0.28,0,0,0.22,0,0,0,460,733.15
95,15CrNiMnMoVCu,0.14,0.22,0.8,0.011,0.016,0,0.055,0,0,0,0.93,0,0.446,0.657,0,0,0.489,0,0,0,384,657.15
96,15CrMnMoNbVB,0.14,0.32,1.34,0.016,0.025,0.061,0.118,0,0,0,0,0,0,0.995,0.002,0,0.47,0,0,0,455,728.15
97,15CrNiMnMoVCuB,0.15,0.31,0.98,0.005,0.018,0,0.08,0,0,0,1.05,0,0.35,0.62,0.0018,0,0.51,0,0,0,410,683.15
98,15CrNiMnMoVTiCuB,0.14,0.34,1.09,0.008,0.01,0,0.07,0.023,0,0,0.4,0,0.36,1.07,0.0027,0,0.45,0,0,0,485,758.15
99,16Mn,0.16,0.42,1.47,0.011,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
100,18MnMoNb,0.21,0.3,1.45,0.021,0.013,0.038,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,380,653.15
101,20MnTiB,0.2,0.32,1.63,0.005,0.014,0,0,0.085,0,0,0.12,0,0.15,0,0.0027,0,0,0,0,0,410,683.15
102,20Mn,0.18,0.31,1.18,0.017,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,708.15
103,30MoVNb,0.34,0.31,0.74,0.021,0.013,0.052,0.11,0,0,0,0,0,0,0,0,0,0.73,0,0,0,310,583.15
104,30CrNi2MoVA,0.28,0.29,0.946,0,0,0,0.216,0,0.05,0,2.19,0,0.041,0,0,0,0.275,0,0,0,285,558.15
105,30CrMnMoRe,0.28,0.44,1.37,0,0.009,0,0,0,0,0,0,0,0,1.04,0,0,0.66,0,0,0.16,305,578.15
106,30Si2MnMoV,0.27,1.65,1.48,0.015,0.025,0,0.15,0,0,0,0,0,0,0,0,0,0.42,0,0,0,360,633.15
107,31Si2CrMoB,0.295,1.8,0.58,0.017,0.022,0,0,0,0,0,0,0,0,0.69,0.0017,0,0.14,0,0,0,380,653.15
108,32SiMnMoV,0.33,1.63,1.73,0.005,0.015,0,0.272,0,0,0,0.06,0,0.058,0.07,0,0,0.42,0,0,0,300,573.15
109,35SiMnMoV,0.34,1.54,1.74,0.005,0.02,0,0.276,0,0,0,0,0,0,0,0,0,0.386,0,0,0,300,573.15
110,40SiMnTi,0.38,1.11,1.05,0.022,0.017,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,365,638.15
111,40CrNiMoA,0.38,0.24,0.69,0.007,0.02,0,0,0,0,0,1.44,0,0.1,0.76,0,0,0.19,0,0,0,320,593.15
112,40Mn2A,0.42,0.34,1.6,0.028,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,588.15
113,40MnMoVNb,0.41,0.19,1.46,0.018,0.019,0.085,0.08,0,0,0,0,0,0,0,0,0,0.25,0,0,0,310,583.15
114,40SiMnWMoVRe,0.41,1.6,0.98,0.012,0.015,0,0.026,0,0,0,0.02,0.98,0.028,0.02,0,0,0.36,0,0,0.013,295,568.15
115,43SiMnCrNiMoVRe,0.42,1.57,1.29,0.007,0.014,0,0.2,0,0,0,0.56,0,0,1.18,0,0,0.46,0,0,0.01,290,563.15
116,45CrNiMoVA,0.46,0.27,0.63,0.006,0.017,0,0.16,0,0,0,1.57,0,0,0.94,0,0,0.25,0,0,0,280,553.15
117,45SiMnCrNiMo,0.47,0.73,0.98,0.02,0.022,0,0.06,0,0,0,1.32,0,0,0.84,0,0,0.27,0,0,0,250,523.15
119,58SiMn,0.54,1.34,1.1,0.0195,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
120,70SiMnV,0.7,1.2,1.3,0.02,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,210,483.15
121,U70SiMn,0.69,0.98,1.03,0.029,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,498.15
122,95MnNb,0.91,0.15,0.66,0.022,0.013,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,444.15
123,4Cr3Mo2V,0.38,0.39,0.73,0.015,0.023,0,1.16,0,0,0,0.007,0,0.13,2.46,0,0,2,0,0,0,340,613.15
